Description,Price/Unit,Unit,Price/Measure,Measure
Calpol Saline Spray 15ml Suitable from Birth,2.80,unit,18.67,100ml
Yeo Valley Organic Little Yeos Fruity Favourites Yogurt 4x90g,1.65,unit,46p,100g
Sainsbury's Little Ones Fragrance Free Single 64 Baby Wipes,60p,unit,1p,ea
Aptamil 1 First Baby Milk Formula From Birth 200ml,95p,unit,48p,100ml
Sainsbury's Little Ones Single Pack 60 Botty Wipes,75p,unit,1p,wipe
Organix Apple Rice Cakes 50g,1.20,unit,2.40,100g
The Collective Kids Suckies Strawberry Yogurt 100g,75p,unit,75p,100g
Huggies Pure Baby Wipes 4 Pack,2.75,unit,1p,wipe
Sainsbury's Little Ones Fragrance Free 60 Botty Wipes,75p,unit,1p,wipe
Organix Raspberry & Blueberry Rice Cakes 50g,1.20,unit,2.40,100g
The Collective Kids Suckies Peach & Apricot Yogurt 100g,75p,unit,75p,100g
Huggies Pure Baby Wipes Single Pack,80p,unit,1p,wipe
"Yeo Valley Organic Little Yeos, Strawberry & Raspberry Fromage Frais 6x45g",1.65,unit,61p,100g
Kiddylicious Strawberry & Banana Smoothie Melts Snack 6g 12 Months+,60p,unit,10.00,100g
Sainsbury's Little Ones 150 Tie Handle Nappy Sacks,95p,unit,1p,ea
HiPP Organic 1 First Milk Ready to Feed Liquid 200ml,90p,unit,45p,100ml
Organix Melty Carrot Puffs 20g,50p,unit,2.50,100g
Organix Raspberry & Apple Soft Oaty Bars 6x30g,2.75,unit,1.53,100g
Aptamil 2 Follow On Milk Ready to Feed Liquid 200ml,95p,unit,48p,100ml
Sainsbury's Little Ones Fragrance Free 4 Packs 64 Baby Wipes,2.20,unit,86p,100ea
Sainsbury's Little Ones Fragranced Single 64 Baby Wipes,60p,unit,1p,ea
Organix Carrot Cake Soft Oaty Bars 6x30g,2.75,unit,9.17,100g
Cow & Gate 1 First Baby Milk Formula From Birth 200ml,75p,unit,38p,100ml
Sainsbury's Little Ones Cotton Buds Paper Stemmed x300,75p,unit,0p,unit
Sainsbury's Little Ones Dry Fit Size 5 Junior 40 Nappies,3.00,unit,8p,napy
Organix Melty Sweetcorn Rings 20g,50p,unit,2.50,100g
Ella's Kitchen Organic Strawberries and Apples Baby Pouch 4+ Months 120g,1.10,unit,92p,100g
Cow & Gate 3 Growing Up Milk Ready to Feed Liquid 1+ Years 200ml,75p,unit,38p,100ml
Ella's Kitchen Organic Pears First Tastes Baby Pouch 4+ Months 70g,80p,unit,1.15,100g
Johnson's Baby Cotton Buds x200,1.00,unit,50p,100g
Kiddylicious Apple Fruit Crisps Snack 12g 12 Month+,60p,unit,5.00,100g
The Collective Kids Suckies Banana Yogurt 100g,75p,unit,75p,100g
DryNites Boys Pyjama Pants Age 4-7 Years 10 Pants,5.50,unit,55p,napy
Arla Big Milk Drink 2L 12 Month+,1.95,unit,98p,ltr
Ella's Kitchen Organic Bananas & Apples Baby Pouch 4+ Months 120g,1.10,unit,92p,100g
Yeo Valley Little Yeos Strawberry & Peach Apple & Pear Fromage Frais 6x45g,1.65,unit,61p,100g
SMA PRO First Infant Milk From Birth Ready to Feed 200ml,85p,unit,43p,100ml
Aquafresh Milk Teeth 0-2 Years Kids Toothpaste 50ml,1.00,unit,2.00,100ml
Ella's Kitchen Organic Apples First Tastes Baby Pouch 4+ Months 70g,80p,unit,1.15,100g
Kiddylicious Veggie Straws 12g,65p,unit,54p,10g
Sainsbury's Little Ones Hand & Face Single Pack 50 Wipes,1.25,unit,3p,wipe
Sainsbury's Double Faced Oval Cotton Pads x50,1.85,unit,4p,ea
Kiddylicious Strawberry Fruit Wriggles Snack 12g 12 Month+,60p,unit,5.00,100g
Ella's Kitchen Organic Prunes First Tastes Baby Pouch 4+ Months 70g,80p,unit,1.15,100g
Ella's Kitchen Organic The Red One Smoothie Multipack Pouch 6+ Months 5 x 90g,3.50,unit,78p,100g
Novon Paper Stemmed Cotton Buds x200,55p,unit,0p,ea
Sensodyne Pronamel Kids 6-12 years  Enamel Care Toothpaste 50ml,2.00,unit,4.00,100ml
Sainsbury's Little One Square Cotton Pad x50,1.75,unit,4p,unit
Ella's Kitchen Organic Peaches and Bananas Baby Pouch 4+ Months 120g,1.10,unit,92p,100g
"Johnson's Make Up Be Gone Facial Wipes, Refreshing x25",1.50,unit,6p,wipe
Organix Apple & Orange Soft Oaty Bars 6x30g,2.75,unit,1.53,100g
"Ella's Kitchen Organic Sweet Potatoes, Pumkin, Apples and Blueberries Baby Pouch 4+ Months 120g",1.10,unit,92p,100g
"Ella's Kitchen Organic Apples, Carrots and Parsnips Baby Pouch 4+ Months 120g",1.10,unit,92p,100g
Aptamil 1 First Baby Milk Formula From Birth 1L,3.95,unit,40p,100ml
Cow & Gate Apple & Pear Fruit Puree Pots 4x100g,1.45,unit,36p,100g
Sainsbury's 100% Cotton Pleats 200g,1.00,unit,50p,100g
Kiddylicious Banana Mango & Passion Fruit Smoothie Melts Snack 6g 12 Months+,60p,unit,10.00,100g
Ella's Kitchen Organic Mangoes Pears + Papayas from 4 Months 120g,1.10,unit,92p,100g
Ella's Kitchen Organic Mangoes First Tastes Baby Pouch 4+ Months 70g,80p,unit,1.15,100g
Organix Raisins 168g,2.50,unit,1.49,100g
Annabel Karmel Beef Cottage Pie Toddler Meal 200g 12 Month+,2.50,unit,12.50,kg
Ella's Kitchen Organic Banana Baby Brekkie Pouch 6+ Months 100g,1.10,unit,1.10,100g
Johnson's Baby Bedtime Bath 500ml,2.00,unit,40p,100ml
"Calpol Infant Suspension Sugar Free, Strawberry 100ml",3.50,unit,3.50,100ml
WaterWipes Baby Wipes Sensitive Skin (60 Wipes),2.70,unit,5p,wipe
"Ella's Kitchen Organic Pears, Peas and Broccoli Baby Pouch 4+ Months 120g",1.10,unit,92p,100g
Sainsbury's Little Ones Dry Fit Size 4 Maxi 48 Nappies,3.00,unit,6p,napy
Sainsbury's Little Ones Dry Fit Size 6 Extra Large x30 Nappies,3.00,unit,10p,napy
Heinz Apple Biscotti Snack 60g 7 Month+,85p,unit,1.42,100g
Annabel Karmel Chicken Tikka Toddler Meal 200g 12 Month+,2.50,unit,12.50,kg
DryNites Bedmats 7 Sheets (88x78cm),5.00,unit,71p,ea
BEAR PAWS Fruit Shapes Strawberry & Apple 20g,60p,unit,3.00,100g
Ella's Kitchen Organic Mango Baby Brekkie Pouch 6+ Months 100g,1.10,unit,1.10,100g
Organix Gingerbread Men Biscuits 135g,2.20,unit,1.63,100g
Sainsbury's Little Ones Dry Fit Size 4+ Maxi Plus 44 Nappies,3.00,unit,7p,napy
Sainsbury's Little Ones Cotton Buds Paper Stemmed x100,40p,unit,0p,unit
Annabel Karmel Chicken & Potato Pie Toddler Meal 200g 12 Month+,2.50,unit,12.50,kg
Ella's Kitchen Organic Chicken and Rice Casserole Baby Pouch 7+ Months 130g,1.50,unit,1.15,100g
Kiddylicious Veggie Straws 4 x 12g (48g),2.50,unit,52p,10g
Cow & Gate 2 Follow On Baby Milk Formula 200ml,75p,unit,38p,100ml
SMA PRO Growing Up Milk 1-3 Years 800g,80p,unit,40p,100ml
Ella's Kitchen Organic Cheesy Pie Baby Pouch 7+ Months 130g,1.50,unit,1.15,100g
Sainsbury's Large Cotton Wool Balls x100,1.30,unit,1p,ea
Organix Farm Animal Biscuits 100g,1.60,unit,1.60,100g
Organix Carrot Stix 4x15g,1.50,unit,2.50,100g
Ella's Kitchen Organic The Pink One Smoothie Multipack Pouch 6+ Months 90g,3.50,unit,78p,100g
Johnson's Baby Powder 500g,2.25,unit,45p,100g
Ella's Kitchen Organic Sweetcorn and Carrot Melty Sticks Baby Snack 7+ Months 16g,1.10,unit,6.47,100g
Aptamil ProFutura 1 First Baby Milk Formula From Birth 200ml,1.10,unit,55p,100ml
Organix Mini Gingerbread Men Biscuits 5x25g,2.30,unit,1.84,100g
"Calpol Sugar Free Suspension, Strawberry Flavour 6+ 80ml",3.50,unit,4.38,100ml
Organix Saucy Tomato Noughts & Crosses 4x15g,1.50,unit,2.50,100g
Organix Mini Cheese Crackers 4x20g,1.75,unit,2.19,100g
DryNites Girls Pyjama Pants Age 4-7 Years 10 Pants,5.50,unit,55p,napy
Ella's Kitchen Organic Beef Stew Baby Pouch 7+ Months 130g,1.50,unit,1.15,100g
Ella's Kitchen Organic Spag Bol Baby Pouch 7+ Months 130g,1.50,unit,1.15,100g
Aptamil 2 Follow On Baby Milk Formula Multipack 4x200ml,2.75,unit,35p,100ml
Kiddylicious Apple Fruit Wriggles Snack 12g 12 Month+,60p,unit,5.00,100g
Pampers Baby Dry Size 5 Essential Pack 39 Nappies,6.75,unit,17p,napy
Sainsbury's Little Ones Dry Fit Size 5+ 36 Nappies,3.00,unit,8p,napy
DryNites Boys Pyjama Pants Age 8-15 Years 9 Pants,5.50,unit,61p,napy
Ella's Kitchen Organic Berry Greek Style Yoghurt Baby Pouch 6+ Months 90g,1.10,unit,1.22,100g
"Colgate Kids Toothbrush Extra Soft, 0-3 Years",1.25,unit,1.25,ea
Johnson's Baby Gold Shampoo 300ml,1.50,unit,50p,100ml
Sainsbury's Little Ones Dry Fit Size 3 Midi 56 Nappies,3.00,unit,5p,napy
Organix Cheese & Herb Puffs 4x15g,1.50,unit,2.50,100g
Tilda Kids Sunshine Vegetable Rice 125g 12 Month+,1.15,unit,92p,100g
Ella's Kitchen Organic Pear & Peach Baby Rice Baby Pouch 4+ Months 120g,1.10,unit,92p,100g
HiPP Organic Apple Peach & Mango Fruit Pot 4x100g 4 Month+,2.00,unit,50p,100g
Organix Strawberry & Apple Gummies 12g,60p,unit,5.00,100g
Pampers Baby Dry Size 4 Essential Pack 44 Nappies,6.75,unit,15p,napy
Organix Banana Rice Cakes 50g,1.20,unit,2.40,100g
Ella's Kitchen Organic The Purple One Smoothie Multipack Pouch 6+ Months 5 x 90g,3.50,unit,78p,100g
Kiddylicious Apple & Blackcurrant Fruit Smoothie Melts Snack 6g 12 Month+,60p,unit,10.00,100g
BEAR PAWS Fruit Shapes Strawberry & Apple Multipack x5 20g,2.50,unit,2.50,100g
Sainsbury's Little Ones Dry Fit Size 6+ 30 Nappies,3.00,unit,10p,napy
Ella's Kitchen Organic Apricot & Banana Baby Rice Baby Pouch 4+ Months 120g,1.10,unit,92p,100g
Heinz Banana Biscotti Snack 60g 7 Month+,85p,unit,1.42,100g
Aptamil Hungry Baby Milk Formula From Birth 200ml,95p,unit,48p,100ml
Ella's Kitchen Organic Bananas First Tastes Baby Pouch 4+ Months 70g,80p,unit,1.15,100g
Ella's Kitchen Organic Strawberry Greek Style Yoghurt Baby Pouch 6+ Months 90g,1.10,unit,1.22,100g
"Pampers Baby-Dry Nappy Pants, Size 5, 12-17kg x33",8.00,unit,24p,napy
Ella's Kitchen Organic Strawberry and Banana Melty Puffs Baby Snack 6+ Months 20g,50p,unit,50p,ea
Sainsbury's Junior Paracetamol Suspension 100ml,2.05,unit,2.05,100ml
Aquafresh Little Teeth 3-5 Years Kids Soft Toothbrush x1,1.50,unit,1.50,ea
L'Oral Kids Extra Gentle 2-in-1 Very Berry Strawberry Shampoo 250ml,2.40,unit,96p,100ml
Ella's Kitchen Organic Spag Bol with Cheese Baby Pouch 10+ Months 190g,2.00,unit,1.05,100g
Ella's Kitchen Organic Chicken and Veg Baby Pouch 7+ Months 130g,1.50,unit,1.15,100g
Milton Antibacterial Surface Wipes x30,2.00,unit,2.00,ea
Organix Melty Tomato Slices 20g,50p,unit,2.50,100g
Ella's Kitchen Organic Mango Greek Style Yoghurt Baby Pouch 6+ Months 90g,1.10,unit,1.22,100g
BEAR Fruit Yoyos Raspberry 20g,55p,unit,2.75,100g
Organix Strawberry Soft Oaty Bars 6x30g,2.75,unit,1.53,100g
Pampers Baby Dry Size 6 Essential Pack 33 Nappies,6.75,unit,20p,napy
Pampers Baby Dry Size 3 Essential Pack 50 Nappies,6.75,unit,14p,napy
Aptamil 1 First Baby Milk Formula From Birth 800g,11.35,unit,1.42,100g
Eco by Naty Unscented Sensitive Wipes x56,1.85,unit,3p,ea
Heinz Farleys Original Rusks 150g 4 Month+,1.00,unit,67p,100g
Milton Sterilising Tablets x28,1.50,unit,5p,ea
Aquafresh Big Teeth 6-8 Years Kids Soft Toothbrush x1,1.50,unit,1.50,ea
SMA PRO First Infant Milk From Birth 800g,10.75,unit,1.34,100g
Johnson's Baby Gold Shampoo 500ml,2.25,unit,45p,100ml
Johnson's Baby Powder 200g,1.50,unit,75p,100g
Ella's Kitchen Organic Blueberry and Pear Baby Brekkie Pouch 6+ Months 100g,1.10,unit,1.10,100g
SMA PRO Follow-on Milk Ready to Feed 6 Month+ 200ml,85p,unit,43p,100ml
Annabel Karmel Tomato & Mascarpone Pasta With Hidden Veggies Toddler Meal 200g 12 Month+,2.50,unit,12.50,kg
Sainsbury's Little Ones Hand & Face Single Pack 15 Wipes,95p,unit,6p,wipe
"Ella's Kitchen Organic Sweet Potatoes, Broccoli and Carrots Baby Pouch 4+ Months 120g",1.10,unit,92p,100g
