Description,Price/Unit,Unit,Price/Measure,Measure
Haagen-Dazs Dark Chocolate & Caramelised Almond Ice Cream 460ml,3.00,unit,66p,100ml
Haagen-Dazs Belgian Chocolate & Hazelnut Ice Cream 460ml,3.00,unit,66p,100ml
Quorn Vegetarian Chicken Style Nuggets 300g,1.70,unit,5.67,kg
Sainsbury's Garden Peas 910g,1.00,unit,1.10,kg
The Ice Co. Party Ice Cubes 2kg,1.00,unit,5p,100g
Sainsbury's White Rolls x6,70p,unit,12p,ea
Sainsbury's Petits Pois 910g,1.30,unit,1.43,kg
"Sainsbury's Raw Jumbo King Prawns, Taste the Difference 225g",4.50,unit,20.00,kg
Birds Eye Potato Waffles x10 567g,1.50,unit,2.65,kg
Birds Eye Garden Peas 375g,1.30,unit,3.47,kg
Sainsbury's Broccoli Florets 1kg,1.00,unit,1.00,kg
Aunt Bessie's Homestyle Chips 900g,1.75,unit,1.94,kg
Birds Eye Garden Peas 800g,2.15,unit,2.69,kg
"Sainsbury's Cooked & Peeled Jumbo King Prawns, Taste the Difference 225g",4.00,unit,17.78,kg
Sainsbury's Hash Browns 700g,1.25,unit,1.79,kg
Sainsbury's French Fries 900g,1.00,unit,1.11,kg
McCain Crispy French Fries 900g,2.15,unit,2.39,kg
Sainsbury's Chopped Onion 750g,1.30,unit,1.73,kg
Linda McCartney Vegetarian Sausages x6 270g,2.20,unit,8.15,kg
Sainsbury's Frozen Blueberries 400g,2.00,unit,50p,100g
McCain Crispy French Fries 1.4kg,3.20,unit,2.29,kg
Aunt Bessie's Homestyle Chips 1.5kg,2.50,unit,1.67,kg
Goodfella's Stonebaked Thin Pepperoni Pizza 340g,1.25,unit,3.77,kg
McCain Ready Baked Jacket Potatoes x4 800g,2.00,unit,2.50,kg
Magnum Ice Cream Classic Chocolate 4x110ml,3.20,unit,73p,100ml
Stamford Street Fish Fingers x10 250g,69p,unit,2.76,kg
Sainsbury's Frozen Raspberries 350g,2.00,unit,57p,100g
