Description,Price/Unit,Unit,Price/Measure,Measure
"Sainsbury's Potato Dauphinoise, Taste the Difference 400g (Serves 2)",2.00,unit,5.00,kg
"Sainsbury's Cauliflower Cheese, Taste the Difference 400g (Serves 2)",2.00,unit,5.00,kg
Sainsbury's Fairtrade Bananas Loose,73p,kg,73p,kg
Sainsbury's Carrots Loose,41p,kg,41p,kg
Sainsbury's British Semi Skimmed Milk 2.27L (4 pint),1.10,unit,48p,ltr
Sainsbury's Whole Cucumber,43p,unit,43p,ea
Sainsbury's Onions Loose,85p,kg,85p,kg
Sainsbury's Baking Potatoes Loose,64p,kg,64p,kg
Sainsbury's Fairtrade Bananas x5,80p,unit,16p,ea
Sainsbury's Red Pepper,45p,unit,45p,ea
Sainsbury's Mixed Peppers (Colours may vary) x3,1.35,unit,45p,ea
Sainsbury's Red Seedless Grapes 500g,2.00,unit,4.00,kg
Sainsbury's Carrots 1kg,35p,unit,35p,kg
Sainsbury's Lemons,30p,unit,30p,ea
Sainsbury's Broccoli Loose,1.60,kg,1.60,kg
Sainsbury's Red Onions Loose,1.00,kg,1.00,kg
Sainsbury's Strawberries 400g,3.50,unit,8.75,kg
Sainsbury's Closed Cup White Mushrooms Loose,2.75,kg,2.75,kg
By Sainsburys Medium Ripe & Ready Avocados x2,1.60,unit,80p,ea
Sainsbury's Spring Onions Bunch 100g,37p,unit,37p,ea
Sainsbury's Closed Cup White Mushrooms 300g,95p,unit,3.17,kg
Sainsbury's Responsibly Sourced Scottish Salmon Fillets x2 240g,3.25,unit,13.54,kg
Sainsbury's Woodland Free Range Large Eggs x12,2.05,unit,17p,ea
Sainsbury's Courgettes Loose,2.00,kg,2.00,kg
Sainsbury's Sweet Potatoes Loose,1.10,kg,1.10,kg
Sainsbury's Royal Gala Apples x6,1.60,unit,27p,ea
Sainsbury's Maris Piper Potatoes 2.5kg,1.39,unit,56p,kg
Sainsbury's Baking Potatoes x4,45p,unit,11p,ea
Sainsbury's Easy Peelers 600g,80p,unit,1.33,kg
"Sainsbury's Easy Peelers, Taste the Difference 600g",1.20,unit,2.00,kg
Sainsbury's Baby Potatoes 1kg,1.00,unit,1.00,kg
Sainsbury's Fairtrade Bananas x8,1.25,unit,16p,ea
Sainsbury's Parsnips Loose,1.15,kg,1.15,kg
Sainsbury's Cauliflower,35p,unit,35p,ea
Sainsbury's White Seedless Grapes 500g,1.75,unit,3.50,kg
Cravendale Purefilter Semi Skimmed Milk 2L,1.90,unit,95p,ltr
Sainsbury's Blueberries 150g,1.75,unit,11.66,kg
Sainsbury's Braeburn Apples x6,1.60,unit,27p,ea
"Sainsbury's Vittoria on the Vine Cherry Tomatoes, Taste the Difference 250g",1.70,unit,6.80,kg
Sainsbury's Iceberg Lettuce,43p,unit,43p,ea
Sainsbury's Tomatoes Loose,1.75,kg,1.75,kg
"Sainsbury's Jubilee Large Vine Tomatoes, Taste the Difference 450g",1.70,unit,3.78,kg
Sainsbury's Limes,30p,unit,30p,ea
Sainsbury's Half Cucumber Portion,35p,unit,35p,ea
Sainsbury's Garlic,25p,unit,25p,ea
Sainsbury's Raspberries 150g,1.75,unit,11.66,kg
Sainsbury's Fine Beans 200g,1.00,unit,5.00,kg
Sainsbury's Large Onions x3,95p,unit,1.58,kg
Sainsbury's Celery,50p,unit,50p,ea
Sainsbury's Classic Round Tomatoes x6,75p,unit,1.88,kg
Sainsbury's Baby Leaf Spinach 100g,1.00,unit,10.00,kg
Sainsbury's Oranges,30p,unit,30p,ea
"Sainsbury's Carrots, SO Organic 750g",1.25,unit,1.67,kg
Sainsbury's Conference Pears x4,1.50,unit,1.50,ea
Sainsbury's Onions 1kg,85p,unit,85p,kg
Sainsbury's White Potatoes 2.5kg,35p,unit,14p,kg
"Sainsbury's Pomodorino Tomatoes, Taste the Difference 250g",1.50,unit,6.00,kg
Sainsbury's Pink Lady Apples x6,2.60,unit,43p,ea
Sainsbury's Aubergine,70p,unit,70p,ea
Sainsbury's Leeks Loose,1.70,kg,1.70,kg
Sainsbury's Tenderstem Broccoli 200g,1.20,unit,6.00,kg
Sainsbury's Baby Plum Tomatoes 250g,75p,unit,3.00,kg
Sainsbury's Raspberries 225g,2.75,unit,12.22,kg
Sainsbury's Chicken Breast Fillets 640g,3.60,unit,5.63,kg
"Sainsbury's Small Bananas, Fairtrade x8",1.10,unit,14p,ea
Sainsbury's Easy Peeler Loose,1.95,kg,1.95,kg
Sainsbury's Little Gem Lettuce x2,85p,unit,43p,ea
Sainsbury's Brussels Sprouts Loose,1.20,kg,1.20,kg
Sainsbury's Baby Button Mushrooms 200g,1.10,unit,5.50,kg
Sainsbury's Strawberries 250g,2.00,unit,8.00,kg
Sainsbury's British Bramley Cooking Apples Loose,1.76,kg,1.76,kg
Sainsbury's Lemons Unwaxed minimum 5,1.00,unit,20p,ea
Sainsbury's Young Spinach 260g,1.50,unit,5.77,kg
Sainsbury's Red & White Seedless Grapes 500g,2.00,unit,4.00,kg
Sainsbury's Yellow Pepper,45p,unit,45p,ea
"Sainsbury's British Breaded Ham 120g x7, Slices",1.75,unit,1.46,100g
"Sainsbury's Vivaldi Baking Potatoes, Taste the Difference x4",1.60,unit,40p,ea
Sainsbury's Red Grapefruit,60p,unit,60p,ea
Sainsbury's Large Red Onions x3,85p,unit,2.33,kg
Sainsbury's Baking Potatoes 2.5kg,2.00,unit,80p,kg
By Sainsburys Large Ripe & Ready Avocado,1.00,unit,1.00,ea
Sainsbury's Garden Peas 910g,1.00,unit,1.10,kg
Sainsbury's Root Ginger Loose,5.00,kg,5.00,kg
Sainsbury's Kale 200g,80p,unit,4.00,kg
Sainsbury's Babycorn 175g,1.60,unit,9.14,kg
Sainsbury's Granny Smith Apples x6,1.60,unit,27p,ea
Sainsbury's Nectarine Punnet (Min x4),2.00,unit,50p,ea
Sainsbury's Sweet Potato 1.25kg,1.50,unit,1.20,kg
Sainsbury's Sugar Snap Peas 200g,1.35,unit,6.75,kg
Sainsbury's Baby Leaf Spinach 200g,1.50,unit,7.50,kg
Sainsbury's Dwarf Beans 300g,1.40,unit,4.67,kg
"Sainsbury's Coleslaw, Taste the Difference 300g",1.30,unit,43p,100g
The Ice Co. Party Ice Cubes 2kg,1.00,unit,5p,100g
Sainsbury's Fresh Packed Bunch Coriander 30g,75p,unit,25p,10g
Sainsbury's Large Whole  Cucumber,75p,unit,75p,ea
Sainsbury's Radish 200g,55p,unit,28p,100g
Sainsbury's Greek Feta Cheese 200g,1.35,unit,6.75,kg
Sainsbury's Orange Pepper,45p,unit,45p,ea
Sainsbury's Asparagus Spears 250g,1.50,unit,6.00,kg
Sainsbury's Courgettes 500g,1.25,unit,2.50,kg
Arla Lactofree Fresh Semi Skimmed Dairy Drink 1L,1.50,unit,1.50,ltr
"Sainsbury's Conference Pears, Ripe & Ready x4",2.00,unit,50p,ea
Sainsbury's Red Chillies 60g,65p,unit,1.08,100g
Sainsbury's Chickpeas in Water 400g (240g*),55p,unit,2.29,kg
Sainsbury's Parsnips 500g,35p,unit,70p,kg
Sainsbury's Honeydew Melon,1.80,unit,1.80,ea
Sainsbury's Oranges x5,1.00,unit,20p,ea
Sainsbury's Carrot Batons 400g,1.00,unit,2.50,kg
"Sainsbury's Romaine Lettuce Hearts, Twin Pack x2",1.00,unit,50p,ea
Sainsbury's Green Pepper,45p,unit,45p,ea
Sainsbury's Sweetheart Cabbage,60p,unit,60p,ea
Sainsbury's Butternut Squash Loose,1.00,kg,1.00,kg
Sainsbury's Celery Sticks 350g,1.00,unit,29p,100g
Cravendale Purefilter Whole Milk 2L,1.90,unit,95p,ltr
"Sainsbury's Whole Cucumber, SO Organic",1.10,unit,1.10,ea
Sainsbury's Mango,90p,unit,90p,ea
Sainsbury's Pink Lady Apples x4,2.10,unit,53p,ea
Sainsbury's Fresh Packed Flat Leaf Parsley 30g,75p,unit,25p,10g
Sainsbury's Oranges Large x4,1.50,unit,37p,ea
Sainsbury's Petits Pois 910g,1.30,unit,1.43,kg
"Sainsburys Majestic Vine Tomatoes, Taste the Difference 300g",1.70,unit,5.67,kg
Sainsbury's Cypriot Halloumi Cheese 225g,2.30,unit,10.22,kg
Sainsbury's Mixed Leaf Salad 200g,1.50,unit,75p,100g
Albert Bartlett Rooster Potatoes 2kg,2.00,unit,1.00,kg
Sainsbury's Sweetcorn Cobettes x4,1.50,unit,38p,ea
Sainsbury's Asparagus Tips 100g,1.75,unit,17.50,kg
Sainsbury's Black Seedless Grapes 500g,2.00,unit,4.00,kg
Sainsbury's Swede,80p,unit,80p,ea
Sainsbury's Jazz Apples x6,2.30,unit,38p,ea
Sainsbury's Iceberg Lettuce 200g,60p,unit,30p,100g
Sainsbury's Free Range Fresh Egg Noodles 410g,1.25,unit,30p,100g
Sainsbury's Beetroot Vacuum Pack 250g,80p,unit,32p,100g
Sainsbury's King Prawns 150g,3.00,unit,2.00,100g
Sainsbury's Cantaloupe Melon,1.80,unit,1.80,ea
Sainsbury's Fresh Packed Basil 30g,75p,unit,25p,10g
Sainsbury's Savoy Cabbage,60p,unit,60p,ea
Sainsbury's Large Flat Mushrooms 250g,1.00,unit,4.00,kg
"Sainsbury's Oranges, Taste the Difference x4",2.00,unit,50p,ea
Sainsbury's Beef Tomato,65p,unit,3.25,kg
Sainsbury's Sweetcorn x2,1.50,unit,75p,ea
By Sainsburys 4 Baby Ripen at Home Avocados,1.75,unit,44p,ea
Sainsbury's Red Onions 1kg,1.00,unit,1.00,kg
Sainsbury's Brussels Sprouts 500g,35p,unit,70p,kg
Sainsbury's Galia Melon,1.80,unit,1.80,ea
Sainsbury's Medium Pineapple,1.00,unit,1.00,ea
"Sainsbury's Vivaldi Salad Potatoes, Taste the Difference 1kg",1.60,unit,1.60,kg
Cravendale Purefilter Skimmed Milk 2L,1.90,unit,95p,ltr
Yeo Valley Organic Natural Yogurt 500g,1.65,unit,33p,100g
Sainsbury's Charlotte Potatoes 1kg,1.10,unit,1.10,kg
Birds Eye Garden Peas 375g,1.30,unit,3.47,kg
Sainsbury's Golden Delicious Apples x6,1.60,unit,27p,ea
Sainsbury's Broccoli Florets 1kg,1.00,unit,1.00,kg
Sainsbury's Fresh Packed Mint 30g,75p,unit,25p,10g
"Sainsbury's Plum Sundream Tomatoes, Taste the Difference 250g",1.65,unit,6.60,kg
Sainsbury's Wild Rocket 60g,1.00,unit,1.67,100g
Sainsbury's Garlic x4,1.00,unit,25p,ea
Sainsbury's Mixed Vegetable Stir Fry 325g,1.00,unit,31p,100g
Sainsbury's Buttery Mashed Potato 400g (Serves 2),1.25,unit,2.78,kg
"Sainsbury's British Wiltshire Cured Ham, Taste the Difference 120g",2.00,unit,1.67,100g
Alpro Soya Chilled Drink 1L,1.55,unit,1.55,ltr
Sainsbury's Deli-Style Coleslaw 300g,80p,unit,27p,100g
"Sainsbury's Spinach, Watercress & Rocket Salad 80g",1.30,unit,1.63,100g
"Sainsbury's Lettuce, Round",65p,unit,65p,ea
Sainsbury's Trimmed Mange Tout 200g,1.35,unit,6.75,kg
"Sainsbury's Royal Gala Apples, SO Organic x6",2.30,unit,38p,ea
Sainsbury's Closed Cup White Mushrooms 500g,1.50,unit,3.00,kg
Sainsbury's Broccoli Florets 160g,90p,unit,5.63,kg
"Sainsbury's Mango, Ripe & Ready x2",1.70,unit,85p,ea
"Sainsbury's Cherry on the Vine Tomatoes, SO Organic 180g",1.85,unit,10.28,kg
Sainsbury's Baby Corn & Mange Tout 200g,1.70,unit,8.50,kg
Sainsbury's Cox Apples x6,1.30,unit,22p,ea
"Sainsbury's Vivaldi White Potatoes, Taste the Difference 2kg",2.60,unit,1.30,kg
Sainsbury's Fresh Packed Coriander 100g,1.25,unit,13p,10g
FAGE Total 0% Natural Fat Free Greek Recipe Strained Yogurt 500g,2.75,unit,55p,100g
Sainsbury's White Cabbage Loose,35p,kg,35p,kg
Sainsbury's Limes x5,1.50,unit,30p,ea
"Sainsbury's Young Spinach, SO Organic 200g",1.60,unit,8.00,kg
Sainsbury's Traditionally Sliced Runner Beans 160g,1.50,unit,9.38,kg
Sainsbury's Sweet Leaf Salad 250g,75p,unit,30p,100g
Sainsbury's Pak Choi 200g,1.20,unit,60p,100g
Sainsbury's Italian Cubetti Di Pancetta 206g,2.50,unit,1.21,100g
"Sainsbury's Broccoli, SO Organic 300g",1.20,unit,4.00,kg
Sainsbury's Baby Sweet Peppers 300g,2.00,unit,6.67,kg
Sainsbury's Red Sweet Pointed Pepper,60p,unit,60p,ea
Sainsbury's Butter Beans In Water 400g (235g*),55p,unit,2.34,kg
Sainsbury's Fresh Salad Cress 20g,30p,unit,15p,10g
Sainsbury's Deli-Style Coleslaw 180g,60p,unit,33p,100g
Sainsbury's Beansprouts 300g,90p,unit,30p,100g
Sainsbury's Chopped Onion 750g,1.30,unit,1.73,kg
Sainsbury's Mini Chicken Breast Fillets 320g,2.00,unit,6.25,kg
Sainsbury's Watercress 80g,1.00,unit,1.25,100g
Sainsbury's Frozen Blueberries 400g,2.00,unit,50p,100g
Sainsbury's Blueberries 300g,3.50,unit,11.67,kg
Sainsbury's Leeks 500g,1.00,unit,2.00,kg
"Sainsbury's Easy Peelers Box, Taste the Difference 1kg",2.90,unit,2.90,kg
Florette Classic Crispy Salad 170g,1.00,unit,59p,100g
Sainsbury's Sweet Gem Lettuce x2,1.00,unit,50p,ea
By Sainsburys Medium Ripe & Ready Avocado,75p,unit,75p,ea
"Sainsbury's Blueberries, SO Organic 150g",2.50,unit,16.67,kg
Sainsbury's Ready Prepared Mini Carrots 240g,70p,unit,2.91,kg
"Sainsbury's Roast Beef Topside Sliced, Taste the Difference 110g",2.75,unit,2.50,100g
Sainsbury's Conference Pear Single,37p,unit,37p,ea
Sainsbury's Cooked Roast Chicken Breast Fillets x2 240g,3.50,unit,1.46,100g
Sainsbury's Plum Tomatoes 500g,1.20,unit,2.40,kg
Sainsbury's Cocktail Beetroot 200g,1.50,unit,75p,100g
"Sainsbury's Celery, SO Organic",1.00,unit,1.00,ea
"Sainsbury's Coleslaw, Taste the Difference 600g",1.60,unit,27p,100g
Sainsbury's Braeburn Apple Single,30p,unit,30p,ea
Sainsbury's Butterhead Salad 80g,1.00,unit,1.25,100g
Sainsbury's Prepared Butternut Squash & Sweet Potato 300g,1.00,unit,3.33,kg
Sainsbury's Oriental Vegetable Stir Fry 300g,1.50,unit,50p,100g
Sainsbury's Extra Fine Beans 200g,1.60,unit,8.00,kg
"Sainsbury's Broccoli, Baby Corn, Carrots & Sugar Snap Peas 240g",1.50,unit,6.25,kg
"Sainsbury's Salad Onions, Large 130g",1.00,unit,1.00,ea
Sainsbury's Ready To Roast Mediterranean Style Vegetables 400g (Serves 2),1.50,unit,3.75,kg
Sainsbury's Mango 250g,2.50,unit,10.00,kg
Sainsbury's Large Pineapple,1.00,unit,1.00,ea
"Sainsbury's Vittoria on the Vine Cherry Tomatoes, Taste The Difference 400g",2.50,unit,6.25,kg
Sainsbury's Frozen Raspberries 350g,2.00,unit,57p,100g
"Sainsbury's Lemons Unwaxed, SO Organic x3",1.65,unit,55p,ea
Sainsbury's Mashed Potato 400g,1.00,unit,2.50,kg
Sainsbury's Baby Potatoes with Herbs & Butter 385g,1.00,unit,2.60,kg
Sainsbury's Broccoli & Cauliflower Florets 240g,1.00,unit,4.17,kg
"Sainsbury's Garlic, SO Organic x3",1.00,unit,33p,ea
"Sainsbury's Black Sable Seedless Grapes, Taste the Difference 400g",2.50,unit,6.25,kg
"Sainsbury's Pears, Ripe & Ready x4",2.00,unit,50p,ea
Sainsbury's Fennel Loose,3.00,kg,3.00,kg
Sainsbury's Beetroot In Vinegar 300g,1.00,unit,33p,100g
Sainsbury's Rocha & Packham Pear Bag x6,1.50,unit,25p,ea
Sainsbury's Chargrilled Chicken Breast Slices 160g,2.50,unit,1.56,100g
Sainsbury's Mixed Vegetables 1kg,1.00,unit,1.00,kg
"Sainsbury's Best Of British Cherry Tomatoes, Taste the Difference 250g",1.70,unit,6.80,kg
Sainsbury's Stringless Beans 225g,1.30,unit,5.78,kg
Sainsbury's Large Garlic,60p,unit,60p,ea
Sainsbury's Green Lentils In Water 400g (265g*),55p,unit,2.08,kg
Sainsbury's Whole Green Beans 1kg,1.00,unit,1.00,kg
"Sainsbury's Spring Onion Bunch, SO Organic 100g",95p,unit,95p,ea
Sainsbury's Greens 500g,80p,unit,1.60,kg
Sainsbury's Pineapple Pieces 400g,2.00,unit,5.00,kg
"Sainsbury's Deli-Style Coleslaw, Be Good To Yourself 300g",80p,unit,27p,100g
Sainsbury's Pine Nuts 100g,3.60,unit,3.60,100g
"Sainsbury's Cos Lettuce, Mini Red x2",1.00,unit,50p,ea
Sainsbury's Red Cabbage Loose,35p,kg,35p,kg
