Description,Price/Unit,Unit,Price/Measure,Measure
Glade Large Candle Arctic Apple Pie 224g,4.00,unit,4.00,ea
Sainsbury's Woodland Free Range Large Eggs x12,2.05,unit,17p,ea
Sainsbury's Woodland Free Range Large Eggs x6,1.10,unit,18p,ea
Sainsbury's Woodland Free Range Medium Eggs x12,1.70,unit,14p,ea
Sainsbury's Woodland Free Range Medium Eggs x6,90p,unit,15p,ea
"Sainsbury's Woodland Free Range Large Eggs, SO Organic x6",2.15,unit,36p,ea
Happy Egg Large Free Range Eggs x6,1.75,unit,29p,ea
"Sainsbury's Woodland Free Range Medium Eggs, SO Organic x6",1.80,unit,30p,ea
Happy Egg Large Free Range Eggs x10,2.75,unit,28p,ea
Sainsbury's Woodland Free Range Very Large Eggs x6,1.60,unit,27p,ea
Clarence Court Mabel Pearmans Burford Brown Eggs x6,2.50,unit,42p,ea
Royal Mail Second Class Stamps x12,7.80,unit,65p,ea
Royal Mail First Class Stamps x12,9.12,unit,76p,ea
zPhone Order Fee,2.95,unit,2.95,ea
Happy Egg Medium Free Range Eggs x6,1.55,unit,26p,ea
"Sainsbury's Woodland Free Range Mixed Weight Eggs, SO Organic x12",3.50,unit,29p,ea
"Duracell Plus Alkaline AA Batteries, pack of 12",7.00,unit,58p,batt
Clarence Court Old Cotswold Legbar Eggs x6,2.35,unit,39p,ea
"Duracell Ultra Alkaline AA Batteries, pack of 4",5.00,unit,1.25,batt
Clarence Court Burford Browns Free Range Eggs x10 500g,3.75,unit,38p,ea
Rizla Green 5x50,1.35,unit,1p,ea
"Swan Filter Tips, Extra Slim x120",1.25,unit,1p,ea
Sainsbury's Sweetheart Roses Bouquet (Colour may vary),2.50,unit,2.50,ea
Sellotape Original Golden Sticky Tape - 1 Roll 24mm x 50m,1.00,unit,1.00,ea
Swan Vesta Matches,70p,unit,70p,ea
"Duracell Plus Alkaline AAA Batteries, pack of 8",7.00,unit,88p,batt
Benson & Hedges Blue Superkings x20,9.30,unit,47p,cig
Golden Virginia Tobacco 50g.,25.85,unit,51.70,100g
Swan Slimline Filter Tips x165,1.20,unit,1.20,ea
Rizla Blue x50,30p,unit,1p,ea
Amber Leaf Tobacco 50g,25.85,unit,51.70,100g
Hp Everyday Paper A4 75gsm 500 Sheets,5.00,unit,5.00,ea
Poppell Electronic Lighter,1.35,unit,1.35,ea
Vileda Supermocio Mop Refill,3.73,unit,3.73,ea
Sainsbury's Alstroemeria Abundance Bouquet,5.00,unit,5.00,ea
"Duracell Ultra Alkaline AA Batteries, pack of 8",6.00,unit,75p,batt
Silk Cut x20,13.40,unit,67p,cig
Rothmans Blue Superkings x20,8.60,unit,43p,cig
Sainsbury's Home 10pk White Paper Plates,2.00,unit,2.00,ea
"Duracell Plus Alkaline AA Batteries, pack of 4",4.00,unit,1.00,batt
Sainsbury's Home Napkins White 33cm 2ply x50,1.50,unit,1.50,ea
Sainsbury's Spray Carnations Bouquet (Colour may vary),2.50,unit,2.50,ea
Benson & Hedges Blue King Size x20,9.30,unit,47p,cig
Sainsbury's Mixed Spray Carnations Bouquet (Colour may vary),4.00,unit,4.00,ea
"Duracell Plus Alkaline AAA Batteries, pack of 12",7.00,unit,7.00,unit
Marlboro Gold King Size x20,11.90,unit,60p,cig
Sainsbury's Alstroemeria Bouquet (Colour may vary),3.00,unit,3.00,ea
Player's Gold Leaf Tobacco 50g,19.50,unit,39.00,100g
Dunhill International 94mm x20,13.30,unit,67p,cig
Sainsbury's Basics White Porcelain Mug,1.00,unit,1.00,ea
Silk Cut Purple King Size x20,13.40,unit,67p,cig
Royal Mail First Class Stamps x6,4.56,unit,76p,ea
Benson & Hedges Gold King Size x20,13.35,unit,67p,cig
Brita Maxtra+ 3pk Cartridges,17.00,unit,17.00,ea
"Duracell Plus Alkaline AA Batteries, pack of 8",7.00,unit,88p,batt
Royal Mail First Class Large Stamps x4,4.60,unit,1.15,ea
"Sainsbury's Cognac Laced 18 Month Matured Christmas Pudding, Taste the Difference 100g (Serves 1)",2.00,unit,2.00,100g
Dr. Oetker Party Candles x18,75p,unit,75p,ea
Clarence Court Duck Eggs x6,2.60,unit,43p,ea
"Duracell Ultra Alkaline AAA Batteries, pack of 4",5.00,unit,1.25,batt
"Duracell Plus Alkaline AAA Batteries, pack of 4",4.00,unit,1.00,batt
"Swan Menthol Filter Tips Cigarettes, Extra Slim x120",1.30,unit,1p,ea
Bostik Blu Tack Handy,1.50,unit,1.50,ea
Radio Times Magazine Christmas Special,5.00,unit,5.00,ea
Rizla Silver Slim King Size x32,84p,unit,3p,ea
Silk Cut Silver King Size 5x20,66.25,unit,66p,cig
Lambert & Butler King Size x20,10.49,unit,52p,cig
Closer Magazine,1.99,unit,1.99,ea
Cricket Original Simplicity Various Colours x1,1.40,unit,1.40,ea
Rizla Silver x50,40p,unit,1p,ea
Silk Cut Silver King Size x20,13.40,unit,67p,cig
Sainsbury's Home Tealights x100,4.00,unit,4.00,ea
Benson & Hedges Sky Blue Superkings x20,9.30,unit,47p,cig
Sainsbury's White Coupe Pasta Bowl,3.00,unit,3.00,ea
"Duracell Specialty 2032 Lithium Coin Battery 3V, pack of 2",5.00,unit,2.50,batt
Players Real Red Superkings x20,9.30,unit,47p,cig
Carplan De-ionised Water 2.5ltr,1.50,unit,1.50,ea
Sainsbury's Home 50pk White Plastic Cups,1.00,unit,1.00,ea
Marlboro Gold King Size 5x20,59.50,unit,60p,cig
Golden Virginia Yellow Tobacco 50g,23.40,unit,46.80,100g
Sainsbury's Home Klip Lock Storage Set 900ml x3,8.00,unit,8.00,ea
"Duracell Ultra Alkaline AAA Batteries, pack of 8",6.00,unit,75p,batt
Benson & Hedges Silver Flip Top x20,11.40,unit,57p,cig
Sainsbury's Home Napkins Cream 33cm 2ply x50,1.50,unit,1.50,ea
Rizla Blue Slim King Size x32,80p,unit,3p,ea
Sainsbury's Pink Chrysanthemum Bouquet,3.50,unit,3.50,ea
Sainsbury's Seasonal Show Bouquet,5.00,unit,5.00,ea
My Weekly Magazine,2.60,unit,2.60,ea
Benson & Hedges Gold King Size 5x20,63.75,unit,64p,cig
Sovereign Blue Superkings x20,9.25,unit,46p,cig
Sainsbury's Large Ivory Pillar Candle,3.50,unit,3.50,ea
Rizla Green x50.,30p,unit,1p,ea
Sainsbury's White Coupe Bowl,2.50,unit,2.50,ea
Embassy Filter x20,12.75,unit,64p,cig
Vileda Fresh Dishbrush,2.00,unit,2.00,ea
Sterling Blue Superkings x20,10.15,unit,51p,cig
Mayfair White King Size x20,10.45,unit,52p,cig
Rothmans Silver King Size x20,9.50,unit,48p,cig
That's Life Magazine,1.70,unit,1.70,ea
Sainsbury's White Oriental Lilies Bouquet,6.00,unit,6.00,ea
Clarence Court Quails Eggs x12,2.80,unit,23p,ea
Clarence Court Mabel Pearmans's Burford Browns Large Free Range Eggs x6,2.95,unit,49p,ea
Silk Cut Purple King Size 5x20,66.25,unit,66p,cig
Vileda Magic Mop Refill,3.00,unit,3.00,ea
Chesterfield Red SK x20,8.60,unit,43p,cig
The People's Friend Magazine,2.80,unit,2.80,ea
Players Bright Blue Superkings x20,9.30,unit,47p,cig
Sainsbury's White Coupe Dinner Plate,3.00,unit,3.00,ea
Amber Leaf Original Tobacco 30g,15.75,unit,53p,g
Carlton Red Superkings x20,8.60,unit,43p,cig
Dr. Oetker Lettered Happy Birthday Candles,1.50,unit,1.50,ea
Rothmans Blue King Size x20,8.60,unit,43p,cig
Benson & Hedges Sky Blue King Size x20,9.30,unit,47p,cig
Benson & Hedges Gold x20,13.40,unit,67p,cig
Vileda 2in1 Dustpan Set,5.00,unit,5.00,ea
Marlboro Gold Touch x20,10.10,unit,51p,cig
