Description,Price/Unit,Unit,Price/Measure,Measure
Sainsbury's Paracetamol Caplets x16,50p,unit,3p,tblt
Carex Antibacterial Handwash 250ml,1.00,unit,40p,100ml
Carex Moisture Plus Antibacterial Handwash 250ml,1.00,unit,40p,100ml
Sainsbury's Paracetamol Capsules x16,75p,unit,5p,tblt
Aquafresh Triple Protection Fresh and Minty Toothpaste 75ml,80p,unit,1.07,100ml
Radox Feel Awake for Men 2in1 Shower Gel 250ml,90p,unit,36p,100ml
Colgate Cavity Protection Toothpaste 75ml,80p,unit,1.07,100ml
Colgate Total Original Care Toothpaste 125ml,3.50,unit,2.80,100ml
"Carex Antibacterial Handwash, Aloe Vera 250ml",1.00,unit,40p,100ml
Sainsbury's Paracetamol Plus Caplets x16,80p,unit,5p,tblt
Radox Moisturise Shower Gel 250ml,90p,unit,36p,100ml
Simple Kind To Skin Cleansing Facial Wipes x25,2.00,unit,8p,wipe
Sainsbury's Ultra Soft 3 Ply Tissues Twin Pack x80 Sheets,2.75,unit,1.72,100sht
Radox Feel Refreshed 2in1 Shower Gel 250ml,90p,unit,36p,100ml
"Colgate Cavity Protection Toothpaste, Pump 100ml",1.75,unit,1.75,100ml
"Carex Antibacterial Handwash, Hypo Allergenic 250ml",1.00,unit,40p,100ml
Sainsbury's Ultra Balm 3 Ply Tissues Twin Pack x80 Sheets,2.75,unit,1.72,100sht
Colgate Total Original Toothpaste 75ml,1.50,unit,2.00,100ml
"Colgate Max Fresh Cooling Crystals Toothpaste, Pump 100ml",3.00,unit,3.00,100ml
Baylis & Harding Mosaic Mandarin & Grapefruit Handwash 500ml,1.50,unit,30p,100ml
Colgate Total Whitening Toothpaste 125ml,3.50,unit,2.80,100ml
Simple Kind to Skin Antibacterial Handwash 250ml,1.00,unit,40p,100ml
Dove Original Beauty Cream Bar 2x100g,1.00,unit,50p,100g
Pears Transparent Bar Soap 125g,70p,unit,56p,100g
Oral-B Pro Expert Professional Protection Clean Mint Toothpaste 75ml,2.00,unit,2.67,100ml
Macleans Fresh Mint Fluoride Toothpaste 100ml,1.00,unit,1.00,100ml
OraCare Coolmint Fluoride Mouthwash 500ml,80p,unit,16p,100ml
Palmolive Naturals Milk & Honey Handwash Soap 300ml,90p,unit,30p,100ml
Baylis & Harding Jasmin and Apple Blossom Antibacterial Handwash 500ml,1.50,unit,30p,100ml
Sainsbury's Fresh Faced Gentle Facial Wipes x25,90p,unit,4p,wipe
Original Source Mint & Tea Tree Shower 250ml,1.00,unit,40p,100ml
"Steradent Denture Cleaning Tablets, Active Plus x30",1.30,unit,4p,ea
"Colgate Advanced White Toothpaste, Pump 100ml",3.00,unit,3.00,100ml
