Description,Price/Unit,Unit,Price/Measure,Measure
Johnson's Baby Top To Toe Baby Bath 500ml,1.50,unit,30p,100ml
Johnson's Baby Soft Wash 500ml,1.50,unit,30p,100ml
Johnson's Baby Top-To-Toe Washcloths x15,1.50,unit,1.50,ea
Yeo Valley Organic Little Yeos Fruity Favourites Yogurt 4x90g,1.00,unit,28p,100g
The Collective Kids Suckies Strawberry Yogurt 100g,60p,unit,60p,100g
Persil Non-Bio Laundry Liquid 1.43L,6.50,unit,4.54,ltr
Sainsbury's Little Ones Single Pack 60 Botty Wipes,75p,unit,1p,wipe
Organix Apple Rice Cakes 50g,1.00,unit,2.00,100g
Huggies Pure Baby Wipes 4 Pack,2.75,unit,1p,wipe
Comfort Fabric Conditioner Pure 3L (85 Washes),3.75,unit,1.25,ltr
The Collective Kids Suckies Peach & Apricot Yogurt 100g,60p,unit,60p,100g
Organix Raspberry & Blueberry Rice Cakes 50g,1.00,unit,2.00,100g
Sainsbury's Little Ones Fragrance Free 60 Botty Wipes,75p,unit,1p,wipe
Huggies Pure Baby Wipes Single Pack,80p,unit,1p,wipe
Sainsbury's Fabric Conditioner Gentle 1.26L (42 Washes),1.35,unit,1.07,ltr
Yeo Valley Organic Little Yeos Strawberry & Raspberry Fromage Frais 6x45g,1.00,unit,37p,100g
Kiddylicious Strawberry & Banana Smoothie Melts Snack 6g 12 Months+,60p,unit,10.00,100g
Sainsbury's Little Ones 150 Tie Handle Nappy Sacks,95p,unit,1p,ea
HiPP Organic 1 First Milk Ready to Feed Liquid 200ml,90p,unit,45p,100ml
Organix Raspberry & Apple Soft Oaty Bars 6x30g,2.00,unit,1.11,100g
Organix Melty Carrot Puffs 20g,65p,unit,3.25,100g
Organix Carrot Cake Soft Oaty Bars 6x30g,2.00,unit,1.11,100g
Dettol Laundry Sanitiser Antibacterial Liquid Additive Fresh Cotton 1.5L,3.00,unit,2.00,ltr
The Collective Kids Suckies Banana Yogurt 100g,60p,unit,60p,100g
Sainsbury's Little Ones Cotton Buds Paper Stemmed x300,75p,unit,0p,ea
Johnson's Baby Cotton Buds x200,1.00,unit,1p,ea
Ella's Kitchen Organic Strawberries and Apples Baby Pouch 4+ Months 120g,1.05,unit,88p,100g
Sainsbury's Little Ones Dry Fit Size 5 Junior 40 Nappies,3.00,unit,8p,napy
Organix Melty Sweetcorn Rings 20g,65p,unit,3.25,100g
Cow & Gate 3 Growing Up Milk Ready to Feed Liquid 1+ Years 200ml,60p,unit,30p,100ml
Ella's Kitchen Organic Pears First Tastes Baby Pouch 4+ Months 70g,80p,unit,1.15,100g
Arla Big Milk Drink 2L 12 Month+,1.95,unit,98p,ltr
Ella's Kitchen Organic Prunes First Tastes Baby Pouch 4+ Months 70g,80p,unit,1.15,100g
Sainsbury's Double Faced Oval Cotton Pads x50,1.85,unit,4p,ea
Huggies DryNites Boy Pants 4-7 Years x10,5.50,unit,55p,napy
