Description,Price/Unit,Unit,Price/Measure,Measure
Aveeno Skin Relief Moisturising Lotion 300ml,5.35,unit,1.79,100ml
E45 Moisturising Lotion 500ml,5.00,unit,1.00,100ml
E45 Moisturising Lotion 500ml,5.00,unit,1.00,100ml
Simple Kind To Skin Cleansing Face Wipes for Sensitive Skin x25,2.00,unit,8p,wipe
Baylis & Harding Mosaic Mandarin & Grapefruit Handwash 500ml,2.00,unit,40p,100ml
Baylis & Harding Jasmin and Apple Blossom Antibacterial Handwash 500ml,2.00,unit,40p,100ml
Pears Transparent Bar Soap 125g,70p,unit,56p,100g
Dove Original Beauty Cream Bar 4x100g,1.00,unit,50p,100g
Palmolive Naturals Milk & Honey Handwash Soap 300ml,90p,unit,30p,100ml
Sainsbury's Fresh Faced Gentle Facial Wipes x25,90p,unit,4p,wipe
Dove Beauty Cream Soap Handwash Supreme Silk 250ml,1.00,unit,40p,100ml
Dove Beauty Cream Caring Hand Wash 250ml,1.00,unit,40p,100ml
Simple Bar Soap 4x125g,1.95,unit,39p,100g
Palmolive Aquarium Handwash 300ml,90p,unit,30p,100ml
Sainsbury's Double Faced Oval Cotton Pads x50,1.85,unit,4p,ea
Novon Paper Stemmed Cotton Buds x200,29p,unit,0p,ea
Johnson's Make Up Be Gone Facial Wipes Refreshing x25,1.50,unit,6p,wipe
Sainsbury's Bath Sponge,60p,unit,60p,ea
Head & Shoulders Classic Clean Anti-Dandruff Shampoo 500ml,4.50,unit,90p,100ml
Simple Kind to Skin Moisturising Handwash 250ml,1.00,unit,40p,100ml
Herbal Essences Dazzling Shine Shampoo 400ml,2.00,unit,50p,100ml
TRESemm Moisture Rich Luxurious Moisture Hair Shampoo 900ml,2.68,unit,30p,100ml
Dove Original Beauty Cream Bar 6x100g,2.50,unit,42p,100g
Sainsbury's Double Faced Round Cotton Wool Pads x100,1.75,unit,2p,ea
L'Oreal Elvive Colour Protect Coloured Hair Conditioner 400ml,2.50,unit,63p,100ml
TRESemm Moisture Rich Luxurious Moisture Hair Conditioner 900ml,2.68,unit,30p,100ml
Baylis & Harding Jojoba Handwash 500ml,2.00,unit,40p,100ml
Lynx Body Spray Deodorant Africa 150ml,1.75,unit,1.17,100ml
Gillette Sensitive Skin Shaving Gel 200ml,1.50,unit,75p,100ml
Palmolive Naturals Moisture Care With Olive Soap Bar 3x90g,1.00,unit,37p,100g
Palmolive Naturals Almond Handwash Soap 300ml,90p,unit,30p,100ml
Simple Cleansing Wipes Banded Pack 2x25,3.00,unit,6p,wipe
Gillette Sensitive Skin Shaving Foam 200ml,1.50,unit,75p,100ml
