Description,Price/Unit,Unit,Price/Measure,Measure
Sainsbury's British Semi Skimmed Milk 2.27L (4 pint),1.09,unit,48p,ltr
Sainsbury's British Semi Skimmed Milk 1.13L (2 pint),80p,unit,70p,ltr
Sainsbury's British Whole Milk 2.27L (4 pint),1.09,unit,48p,ltr
Cravendale Purefilter Semi Skimmed Milk 2L,1.90,unit,95p,ltr
Sainsbury's British Skimmed Milk 2.27L (4 pint),1.09,unit,48p,ltr
Sainsbury's British Semi Skimmed Milk 3.4L (6 pint),1.55,unit,45p,ltr
Hubbard's Foodstore Sparkling Waters 2L,17p,unit,1p,100ml
Sainsbury's British Semi Skimmed Milk SO Organic 2.27L (4 pint),1.55,unit,68p,ltr
Sainsbury's British Skimmed Milk 1.13L (2 pint),80p,unit,70p,ltr
Sainsbury's 100% Pure Squeezed Smooth Orange Juice Not From Concentrate 1L,1.25,unit,13p,100ml
Hubbard's Foodstore Water 2L,17p,unit,1p,100ml
Sainsbury's British Whole Milk 1.13L (2 pint),80p,unit,70p,ltr
Sainsbury's British Semi Skimmed Milk 1 Pint,55p,unit,97p,ltr
Sainsbury's Smooth Pure Orange Juice 1L,95p,unit,10p,100ml
Pepsi Max 2L,1.90,unit,10p,100ml
Sainsbury's Caledonian Still Water 4x2L,1.50,unit,2p,100ml
Sainsbury's 100% Pressed Apple Juice Not From Concentrate 1L,1.25,unit,13p,100ml
Sainsbury's Diet Indian Tonic Water 1L,60p,unit,6p,100ml
Highland Spring Still Water 12x500ml,3.00,unit,5p,100ml
Alpro Almond No Sugars Long Life Drink 1L,1.80,unit,1.80,ltr
Sainsbury's British Whole Milk SO Organic 2.27L (4 Pint),1.55,unit,68p,ltr
Sainsbury's Soda Water 1L,60p,unit,6p,100ml
Arla Lactofree Fresh Semi Skimmed Dairy Drink 1L,1.30,unit,1.30,ltr
Cravendale Purefilter Whole Milk 2L,1.90,unit,95p,ltr
Diet Coke 8x330ml,4.20,unit,16p,100ml
Tropicana Smooth Orange Juice 950ml,2.45,unit,26p,100ml
Robinsons Orange Squash No Added Sugar 1L,1.65,unit,17p,100ml
Sainsbury's British Whole Milk 3.4L (6 pint),1.55,unit,45p,ltr
Sainsbury's Unsweetened Soya Drink 1L,85p,unit,85p,ltr
Sainsbury's Pure Apple Juice 1L,95p,unit,10p,100ml
Robinsons Apple & Blackcurrant Squash No Added Sugar 1L,1.65,unit,17p,100ml
Sainsbury's Caledonian Sparkling Water 4x2L,1.60,unit,2p,100ml
Sainsbury's British Semi Skimmed Milk SO Organic 1.13L (2 pint),1.05,unit,92p,ltr
Sainsbury's Sparkling Flavoured Water Lemon & Lime 1L,50p,unit,5p,100ml
Cravendale Purefilter Semi Skimmed Milk 1L,1.15,unit,1.15,ltr
Sainsbury's Conegliano Prosecco Taste the Difference 75cl,8.00,unit,8.00,75cl
Sainsbury's Apple & Blackcurrant Squash No Added Sugar 1.5L,1.00,unit,7p,100ml
Sainsbury's British Filtered Semi Skimmed Milk 2L,1.35,unit,68p,ltr
Sainsbury's Pure Orange Juice 4x1L,3.20,unit,8p,100ml
Alpro Almond No Sugars Chilled Drink 1L,1.85,unit,1.85,ltr
Sainsbury's Caledonian Sparkling Water 6x500ml,1.50,unit,5p,100ml
Highland Spring Still Water 6x1.5L,2.75,unit,3p,100ml
Tropicana Smooth Orange Juice 1.75L,3.00,unit,17p,100ml
Sainsbury's Indian Tonic Water 1L,60p,unit,6p,100ml
Sainsbury's 100% Pure Squeezed Orange Juice with Bits Not From Concentrate 1L,1.25,unit,13p,100ml
Sainsbury's Caledonian Sparkling Water 2L,55p,unit,3p,100ml
Cravendale Purefilter Skimmed Milk 2L,1.90,unit,95p,ltr
Schweppes Slimline Tonic Water 1L,1.50,unit,15p,100ml
Sainsbury's Double Strength Orange Squash No Added Sugar 1.5L,1.00,unit,7p,100ml
Evian Natural Mineral Water 6x1.5L,4.25,unit,5p,100ml
Sainsbury's Pure Apple Juice 6x200ml,1.50,unit,13p,100ml
Sainsbury's Sparkling Flavoured Water Blackcurrant & Cherry 1L,50p,unit,5p,100ml
McGuigan Estate Merlot 75cl,5.10,unit,5.10,75cl
Sainsbury's Pure Orange Juice 1L,90p,unit,9p,100ml
Innocent Orange Juice Smooth 1.35L,3.00,unit,22p,100ml
Sainsbury's 100% Pure Squeezed Smooth Orange Juice Not From Concentrate 1.75L,2.00,unit,11p,100ml
Phantom River Sauvignon Blanc 75cl,5.00,unit,5.00,75cl
Sainsbury's Caledonian Still Water Sports Cap 6x500ml,1.50,unit,5p,100ml
Buxton Still Natural Mineral Water 8x500ml,1.35,unit,3p,100ml
Alpro Soya Chilled Drink 1L,1.55,unit,1.55,ltr
Sainsbury's Sparkling Flavoured Water Mango & Passionfruit 1L,50p,unit,5p,100ml
Sainsbury's Caledonian Still Water 5L,1.20,unit,2p,100ml
Sainsbury's Still Flavoured Water Strawberry & Kiwi 1L,50p,unit,5p,100ml
Oatly Oat Drink Barista Edition Long Life 1L,1.80,unit,1.80,ltr
PG tips Original Biodegradable Black Tea Bags x240,4.50,unit,65p,100g
Sainsbury's British Whole Milk 568ml (1 pint),55p,unit,97p,ltr
Sainsbury's Sweetened Soya Drink 1L,85p,unit,85p,ltr
Brancott Estate Sauvignon Blanc 75cl,9.50,unit,9.50,75cl
Sainsbury's Sparkling Flavoured Water Strawberry & Kiwi 1L,50p,unit,5p,100ml
Sainsbury's Diet Lemonade 2L,40p,unit,2p,100ml
Clearsprings Sauvignon Blanc 75cl,5.50,unit,5.50,75cl
Sainsbury's 100% Pure Squeezed Pineapple Juice Not From Concentrate 1L,1.25,unit,13p,100ml
Sainsbury's Semi Skimmed Long Life Milk 6x1L,4.25,unit,71p,ltr
Nestle Pure Life Still Spring Water 12x500ml,2.00,unit,3p,100ml
Oatly Original Oat Drink Long Life 1L,1.50,unit,1.50,ltr
Sainsbury's Apple & Mango Juice Not From Concentrate 1L,1.25,unit,13p,100ml
Villa Maria Private Bin Sauvignon Blanc 75cl,8.50,unit,8.50,75cl
Sainsbury's British Skimmed Milk 568ml (1 pint),55p,unit,97p,ltr
Evian Natural Mineral Water 6x500ml,2.00,unit,7p,100ml
Buxton Sparkling Natural Mineral Water 8x500ml,2.10,unit,5p,100ml
Robinsons Summer Fruits Squash No Added Sugar 1L,1.65,unit,17p,100ml
McGuigan Estate South Australian Shiraz 75cl,5.10,unit,5.10,75cl
Diet Coke Caffeine Free 8x330ml,4.20,unit,16p,100ml
Schweppes Slimline Lemonade 2L,1.30,unit,7p,100ml
Oyster Bay Sauvignon Blanc 75cl,10.00,unit,10.00,75cl
Nescaf Azera Americano Instant Coffee 100g,3.00,unit,3.00,100g
Sainsbury's Double Strength Orange & Mango Squash No Added Sugar 1.5L,1.00,unit,7p,100ml
Sainsbury's Diet Indian Tonic with Lime 1L,60p,unit,6p,100ml
Alpro Oat Long Life Drink 1L,1.25,unit,1.25,ltr
Coca-Cola Zero Sugar 8x330ml,4.20,unit,16p,100ml
Yorkshire Tea Tea Bags x80,2.00,unit,80p,100g
Campo Viejo Rioja Tempranillo 75cl,6.50,unit,6.50,75cl
Sainsbury's British Skimmed Milk SO Organic 1.13L (2 pint),1.05,unit,92p,ltr
Canti Prosecco 75cl,9.00,unit,9.00,75cl
Sainsbury's Still Flavoured Water Lemon & Lime 1L,50p,unit,5p,100ml
