Description,Price/Unit,Unit,Price/Measure,Measure
Sainsbury's Fairtrade Bananas Loose,73p,kg,73p,kg
Sainsbury's Carrots Loose,41p,kg,41p,kg
Sainsbury's British Semi Skimmed Milk 2.27L (4 pint),1.10,unit,48p,ltr
Sainsbury's Fairtrade Bananas x5,80p,unit,16p,ea
Sainsbury's Red Pepper,45p,unit,45p,ea
Sainsbury's Mixed Peppers (Colours may vary) x3,1.35,unit,45p,ea
Sainsbury's Carrots 1kg,35p,unit,35p,kg
Sainsbury's Lemons,30p,unit,30p,ea
Sainsbury's Broccoli Loose,1.60,kg,1.60,kg
Sainsbury's Strawberries 400g,3.50,unit,8.75,kg
By Sainsburys Medium Ripe & Ready Avocados x2,1.60,unit,80p,ea
Sainsbury's Spring Onions Bunch 100g,37p,unit,37p,ea
Sainsbury's Closed Cup White Mushrooms 300g,95p,unit,3.17,kg
Sainsbury's Responsibly Sourced Scottish Salmon Fillets x2 240g,3.25,unit,13.54,kg
Sainsbury's Woodland Free Range Large Eggs x12,2.05,unit,17p,ea
Sainsbury's Royal Gala Apples x6,1.60,unit,27p,ea
Sainsbury's British Whole Milk 2.27L (4 pint),1.10,unit,48p,ltr
Sainsbury's Easy Peelers 600g,80p,unit,1.33,kg
Sainsbury's Easy Peelers Taste the Difference 600g,1.20,unit,2.00,kg
Sainsbury's Cauliflower,35p,unit,35p,ea
Cravendale Purefilter Semi Skimmed Milk 2L,1.90,unit,95p,ltr
Sainsbury's Blueberries 150g,1.75,unit,11.66,kg
Sainsbury's Braeburn Apples x6,1.60,unit,27p,ea
Sainsbury's Vittoria on the Vine Cherry Tomatoes Taste the Difference 250g,1.70,unit,6.80,kg
Sainsbury's Jubilee Large Vine Tomatoes Taste the Difference 450g,1.70,unit,3.78,kg
Sainsbury's Limes,30p,unit,30p,ea
Sainsbury's English Butter Salted 250g,1.50,unit,6.00,kg
Sainsbury's English Butter Unsalted 250g,1.50,unit,6.00,kg
Sainsbury's Woodland Free Range Large Eggs x6,1.10,unit,18p,ea
Sainsbury's Fine Beans 200g,1.00,unit,5.00,kg
Sainsbury's Large Onions x3,95p,unit,1.58,kg
Sainsbury's Tomato Puree Double Concentrate 200g,35p,unit,1.75,kg
Hovis Soft Medium Sliced White Bread 800g,1.10,unit,14p,100g
Sainsbury's Plain Tortilla Wraps x8 512g,90p,unit,11p,ea
Sainsbury's White Granulated Sugar 1kg,75p,unit,75p,kg
Sainsbury's Conference Pears x4,1.50,unit,1.50,ea
Sainsbury's Pink Lady Apples x6,2.60,unit,43p,ea
Sainsbury's Passata 500g,40p,unit,8p,100g
