Description,Price/Unit,Unit,Price/Measure,Measure
Oppo Vanilla Pecan Praline 475ml,3.00,unit,63p,100ml
Oppo Low Calorie Salted Caramel Ice Cream 475ml,3.00,unit,63p,100ml
Oppo Low Calorie Colombian Chocolate & Hazelnut Ice Cream 475ml,3.00,unit,63p,100ml
Sainsbury's Garden Peas 910g,1.00,unit,1.10,kg
The Ice Co. Party Ice Cubes 2kg,1.00,unit,5p,100g
Sainsbury's Petits Pois 910g,1.30,unit,1.43,kg
Birds Eye Potato Waffles x10 567g,1.25,unit,2.21,kg
Sainsbury's Raw Jumbo King Prawns Taste the Difference 225g,4.50,unit,20.00,kg
Birds Eye Garden Peas 375g,1.30,unit,3.47,kg
Sainsbury's Broccoli Florets 1kg,1.00,unit,1.00,kg
Aunt Bessie's Homestyle Chips 900g,1.75,unit,1.94,kg
Sainsbury's Frozen Blueberries 400g,2.00,unit,50p,100g
Sainsbury's Cooked & Peeled Jumbo King Prawns Taste the Difference 225g,4.50,unit,20.00,kg
Sainsbury's Hash Browns 700g,1.25,unit,1.79,kg
McCain Crispy French Fries 900g,2.15,unit,2.39,kg
Sainsbury's French Fries 900g,59p,unit,66p,kg
Sainsbury's Frozen Raspberries 350g,2.00,unit,57p,100g
Aunt Bessie's Homestyle Chips 1.5kg,2.00,unit,1.34,kg
Linda McCartney Vegetarian Sausages x6 270g,2.20,unit,8.15,kg
Sainsbury's Chopped Onion 750g,1.30,unit,1.73,kg
McCain Crispy French Fries 1.4kg,3.20,unit,2.29,kg
Goodfella's Stonebaked Thin Pepperoni Pizza 340g,2.25,unit,6.78,kg
Magnum Ice Cream Classic Chocolate 4x110ml,3.20,unit,73p,100ml
McCain Ready Baked Jacket Potatoes x4 800g,3.00,unit,3.75,kg
Goodfella's Stonebaked Thin Margherita Pizza 345g,2.25,unit,6.52,kg
Aunt Bessie's Crinkle Cut Chips 900g,1.75,unit,1.94,kg
Sainsbury's Mixed Vegetables 1kg,1.00,unit,1.00,kg
Sainsbury's Chunky Cod Fish Fingers Taste the Difference x8 480g,3.50,unit,7.29,kg
Sainsbury's Yorkshire Puddings x12 220g,1.20,unit,5.45,kg
Sainsbury's Sweetcorn Super Sweet 1kg,1.50,unit,1.50,kg
Quorn Vegetarian Mince Family Pack 500g,2.60,unit,5.20,kg
Magnum Mini Ice Cream Classic Almond & White 6x55ml,2.50,unit,76p,100ml
Sainsbury's Frozen All Butter Croissants x6 300g,2.25,unit,75p,100g
Birds Eye Battered Cod Fillets x4 440g,3.50,unit,7.96,kg
Birds Eye Cod Fish Fingers x10 280g,3.00,unit,10.71,kg
Quorn Vegetarian Mince 300g,1.50,unit,5.00,kg
Sainsbury's Cold Water Prawns Basics 250g,2.50,unit,10.00,kg
Sainsbury's Chargrilled Mediterranean Vegetables (Aubergine Courgette Red & Yellow Peppers) 500g,1.50,unit,3.00,kg
Birdseye Petit Pois 960g Reseal,3.00,unit,3.13,kg
Green Giant Original Sweetcorn 198g,75p,unit,4.55,kg
Chicago Town Deep Dish Pepperoni Pizzas x2 (320g),2.00,unit,6.25,kg
Birds Eye Chicken Dippers x38 697g,4.00,unit,5.74,kg
