Description,Price/Unit,Unit,Price/Measure,Measure
Ribena Pineapple & Passion Fruit Squash No Added Sugar 850ml,2.00,unit,24p,100ml
Hellmann's Garlic Vegan Mayonnaise 270g,2.15,unit,80p,100g
Hellmann's Vegan Baconnaise Mayonnaise 270 g,2.15,unit,80p,100g
Sainsbury's Fairtrade Bananas Loose,73p,kg,73p,kg
Sainsbury's Carrots Loose,40p,kg,40p,kg
Sainsbury's British Semi Skimmed Milk 2.27L (4 pint),1.09,unit,48p,ltr
Sainsbury's Whole Cucumber,43p,unit,43p,ea
Sainsbury's Onions Loose,85p,kg,85p,kg
Sainsbury's Baking Potatoes Loose,83p,kg,83p,kg
Sainsbury's Fairtrade Bananas x5,69p,unit,14p,ea
Sainsbury's Red Pepper,45p,unit,45p,ea
Sainsbury's Mixed Peppers (Colours may vary) x3,1.35,unit,45p,ea
Sainsbury's Carrots 1kg,40p,unit,40p,kg
Sainsbury's Red Seedless Grapes 500g,2.00,unit,4.00,kg
Sainsbury's Lemons,30p,unit,30p,ea
Sainsbury's Broccoli Loose,1.60,kg,1.60,kg
Sainsbury's Red Onions Loose,1.00,kg,1.00,kg
Sainsbury's Spring Onions Bunch 100g,37p,unit,37p,ea
Sainsbury's Strawberries 400g,2.20,unit,5.50,kg
By Sainsburys Medium Ripe & Ready Avocados x2,1.60,unit,80p,ea
Sainsbury's Closed Cup White Mushrooms Loose,3.15,kg,3.15,kg
Sainsbury's Woodland Free Range Large Eggs x12,2.05,unit,17p,ea
Sainsbury's Closed Cup White Mushrooms 300g,95p,unit,3.17,kg
Sainsbury's Responsibly Sourced Scottish Salmon Fillets x2 240g,3.25,unit,13.54,kg
Sainsbury's Sweet Potatoes Loose,1.10,kg,1.10,kg
Sainsbury's Courgettes Loose,2.00,kg,2.00,kg
Sainsbury's Maris Piper Potatoes 2.5kg,1.39,unit,56p,kg
Sainsbury's Royal Gala Apples x6,1.60,unit,27p,ea
Sainsbury's Easy Peelers Taste the Difference 600g,1.85,unit,3.08,kg
Sainsbury's Baking Potatoes x4,45p,unit,11p,ea
Sainsbury's Fairtrade Bananas x8,1.10,unit,14p,ea
Sainsbury's Baby Potatoes 1kg,1.00,unit,1.00,kg
Sainsbury's Parsnips Loose,84p,kg,84p,kg
Sainsbury's Vittoria on the Vine Cherry Tomatoes Taste the Difference 250g,1.50,unit,6.00,kg
Sainsbury's Easy Peelers 600g,1.35,unit,2.25,kg
