Description,Price/Unit,Unit,Price/Measure,Measure
Comfort Ultimate Care Fresh Sky Ultra-Concentrated Fabric Conditioner 870ml (58 washes),3.00,unit,3.45,ltr
Fairy Non Bio Pods Washing Liquid Capsules 40 Washes,7.00,unit,7.26,kg
Fairy Non Bio Platinum Pods Washing Liquid Capsules 43 Washes,9.00,unit,21p,ea
Sainsbury's Super Soft Toilet Tissue Pure White x9 Rolls,3.00,unit,15p,100sht
Sainsbury's Thick Bleach 750ml,50p,unit,67p,ltr
Sainsbury's Thick Bleach Aquamarine 750ml,50p,unit,67p,ltr
Andrex Classic Clean Toilet Tissue 16 Rolls,8.50,unit,27p,100sht
Andrex Classic Clean Toilet Tissue 9 Rolls,4.00,unit,23p,100sht
Sainsbury's Super Soft Toilet Tissue Pure White x4 Rolls,1.75,unit,20p,100sht
Sainsbury's Kitchen Foil 300mm x10m,1.25,unit,13p,mtr
Domestos Toilet Bleach Original 750ml,1.00,unit,1.33,ltr
Andrex Supreme Quilts Toilet Tissue 9 Rolls,5.50,unit,38p,100sht
Sainsbury's Super Soft Toilet Tissue Quilted x9 Rolls,3.35,unit,22p,100sht
Sainsburys Super Soft Flushable Moist Toilet Tissue Sensitive 40 wipes,90p,unit,2p,wipe
Sainsbury's Tie Handle Refuse Sacks x20,2.25,unit,11p,ea
Regina Blitz Kitchen Towel x2 Rolls,2.50,unit,1.79,100sht
Sainsburys Super Soft Flushable Moist Toilet Tissue Fresh 40 wipes,90p,unit,2p,wipe
Plenty White Kitchen Towel x2 Rolls,3.50,unit,1.75,100sht
Sainsbury's Washing Up Liquid Lemon 450ml,50p,unit,1.11,ltr
Fairy Antibacterial Washing Up Liquid Eucalyptus 383ml,1.00,unit,2.61,ltr
Sainsbury's Antibacterial Floor Wipes x15,1.00,unit,7p,wipe
Sainsbury's Antibacterial Multi-Surface Wipes x80,1.80,unit,2p,wipe
Sainsbury's Greaseproof & Baking Paper Non-Stick 10m,2.75,unit,28p,mtr
Kleenex Balsam Tissues 2 Pack,3.50,unit,2.73,100sht
Sainsbury's Drawstring Swing Bin Bags x20,1.50,unit,8p,ea
Comfort Pure Fabric Conditioner 1.16L (33 washes),2.00,unit,1.72,ltr
Royal Mail Second Class Stamps x12,7.92,unit,66p,ea
Sainsbury's Kitchen Caddy Compostable Liners x25,2.50,unit,10p,ea
Sainsbury's Non Scratch Sponge Scourers x6,1.00,unit,17p,ea
Sainsbury's Super Soft Toilet Tissue Warm Natural x9 Rolls,3.00,unit,15p,100sht
Sainsbury's Cling Film 350mm x40m,2.00,unit,5p,mtr
Andrex Classic Clean Toilet Tissue 4 Rolls,2.50,unit,31p,100sht
Domestos Toilet Bleach Germ Free Citrus Fresh 750ml,1.00,unit,1.33,ltr
Flash Bathroom Cleaner Spray 500ml,1.00,unit,2.00,ltr
Royal Mail First Class Stamps x12,10.20,unit,85p,ea
Sainsbury's Super Absorbent Kitchen Towels x2,2.00,unit,1.00,100sht
Sainsbury's Sponge Scourer x6,1.00,unit,17p,ea
Sainsbury's Kitchen Foil 300mm x30m,3.50,unit,12p,mtr
Persil Non-Bio Laundry Liquid 1.43L,6.50,unit,4.54,ltr
Plenty White Kitchen Towel x4 Rolls,6.00,unit,1.50,100sht
Sainsbury's Little Ones Single Pack 60 Botty Wipes,75p,unit,1p,wipe
Sainsbury's Tie Top Refuse Sacks x20,2.25,unit,11p,ea
Sainsbury's Antibacterial Total Cleaning Surface Wipes x40,1.00,unit,3p,wipe
Dettol Antibacterial Surface Cleanser 500ml,1.00,unit,2.00,ltr
Flash With Bleach 3 in 1 Cleaner Spray 500ml,1.00,unit,2.00,ltr
Dettol Antibacterial Cleansing Surface Wipes Large x30,1.00,unit,3p,wipe
Andrex Supreme Quilts Toilet Tissue 16 Rolls,7.00,unit,27p,100sht
Kleenex Extra Large Tissues 2 Pack,3.00,unit,1.67,100sht
Comfort Fabric Conditioner Pure 3L (85 Washes),3.75,unit,1.25,ltr
Fairy Platinum Quickwash Washing Up Liquid Original 625ml,2.00,unit,3.20,ltr
Kleenex Ultra Soft Tissues 2 Pack,3.50,unit,2.73,100sht
Sainsbury's Super Soft Pure White Tissues Cube 1x56 Sheets,75p,unit,1.34,100sht
Andrex Classic Clean Washlets Moist Toilet Tissues Single Pack x40,1.25,unit,3p,wipe
Cushelle Toilet Tissue White x9 Rolls,4.50,unit,28p,100sht
Sainsbury's Super Absorbent Kitchen Towels x4,3.50,unit,88p,100sht
Sainsbury's Food & Freezer Bags Medium Tie Handle 36x15cm x40,1.70,unit,4p,ea
Sainsbury's Washing Up Liquid Limited Edition 450ml,50p,unit,1.11,ltr
Dettol Antibacterial Disinfectant Surface Cleaning Spray 750ml,1.50,unit,2.00,ltr
