Description,Price/Unit,Unit,Price/Measure,Measure
Strong Roots The Pumpkin & Spinach Burger x4 300g,2.30,unit,7.67,kg
Strong Roots The Bean & Beet Burger x4 300g,2.30,unit,7.67,kg
Ember Lean Salami Slices 50g,1.95,unit,3.90,100g
Sainsbury's Carrots 1kg,40p,unit,40p,kg
Sainsbury's Responsibly Sourced Scottish Salmon Fillets x2 240g,3.25,unit,13.54,kg
Sainsbury's Beef Mince 5% Fat 500g,2.59,unit,5.18,kg
Sainsbury's Maris Piper Potatoes 2.5kg,1.39,unit,56p,kg
Sainsbury's Baby Potatoes 1kg,1.00,unit,1.00,kg
Sainsbury's Jubilee Large Vine Tomatoes Taste the Difference 450g,1.50,unit,3.33,kg
Sainsbury's Fine Beans 200g,1.00,unit,5.00,kg
Sainsbury's Tenderstem Broccoli 200g,1.50,unit,7.50,kg
Sainsbury's Carrots SO Organic 750g,1.25,unit,1.67,kg
Sainsbury's British Fresh Chicken Breast Fillets Skinless & Boneless 640g,3.60,unit,5.63,kg
Sainsbury's Air Dried Finely Sliced Lean Ham Taste the Difference 120g,2.75,unit,2.29,100g
Sainsbury's British Fresh Chicken Breast Fillets Skinless & Boneless 1kg,4.79,unit,4.79,kg
Sainsbury's British Breaded Ham 120g x7 Slices,1.50,unit,1.25,100g
Sainsbury's Sugar Snap Peas 200g,1.35,unit,6.75,kg
Sainsbury's Garden Peas 910g,1.00,unit,1.10,kg
Sainsbury's Parsnips 500g,42p,unit,84p,kg
Sainsbury's Asparagus Spears 250g,1.50,unit,6.00,kg
Sainsbury's British Honey Roast Ham 120g x7 Slices,1.75,unit,1.46,100g
Sainsbury's British Breaded Ham 240g x14 Slices,2.50,unit,1.04,100g
Albert Bartlett Rooster Potatoes 2kg,2.00,unit,1.00,kg
Sainsbury's Carrot Batons 400g,1.00,unit,2.50,kg
Sainsbury's Butcher's choice British Pork Sausage x8 454g,1.50,unit,3.30,kg
Sainsbury's Spanish Chorizo Ring 225g,2.00,unit,89p,100g
Sainsbury's British Fresh Chicken Breast Fillets Skinless & Boneless 300g,1.80,unit,6.00,kg
Sainsbury's British Fresh Chicken Thigh Fillets Skinless & Boneless 640g,3.50,unit,5.47,kg
Sainsbury's Fishcakes Melting Middle Smoked Haddock with Cheddar & Leek Taste the Difference x2 290g,2.00,unit,6.90,kg
Sainsbury's Beef Mince 5% Fat 750g,3.60,unit,4.80,kg
Sainsbury's Savoy Cabbage,60p,unit,60p,ea
Sainsbury's King Prawns 150g,2.75,unit,1.83,100g
Sainsbury's Cod Fillets Boneless & Skinless 250g,3.75,unit,15.00,kg
Sainsbury's Unsmoked British Back Bacon Rashers x8 250g,1.50,unit,6.00,kg
Sainsbury's Vivaldi Salad Potatoes Taste the Difference 1kg,1.60,unit,1.60,kg
Sainsbury's Air Dried Honey Roast Finely Sliced Lean Ham Taste the Difference 120g,2.25,unit,1.87,100g
Sainsbury's Fresh British Chicken Breaded Kiev With garlic & Herb Butter x2 260g,2.00,unit,7.69,kg
Sainsbury's Smoked Streaky Bacon Taste the Difference 220g,2.75,unit,12.50,kg
Sainsbury's Beef Mince 20% Fat 500g,1.49,unit,2.98,kg
Sainsbury's Corned Beef 200g,2.25,unit,1.13,100g
Sainsbury's British Ham Slices x10 115g,1.00,unit,87p,100g
Sainsbury's Sea Bass Fillets 180g,3.25,unit,18.06,kg
Sainsbury's Plum Sundream Tomatoes Taste the Difference 250g,1.65,unit,6.60,kg
Sainsbury's British Cooked Ham 120g x7 Slices,1.75,unit,1.46,100g
Sainsbury's Spinach Watercress & Rocket Salad 80g,1.30,unit,1.63,100g
Sainsbury's Broccoli Florets 1kg,1.00,unit,1.00,kg
Sainsbury's Thick Unsmoked Bacon Rasher x6 300g,1.80,unit,6.00,kg
Sainsbury's British Wiltshire Cured Ham Taste the Difference 120g,2.75,unit,2.29,100g
Sainsbury's Leeks 500g,1.00,unit,2.00,kg
Sainsbury's Smoked Bacon Medallions Be Good To Yourself 200g,1.75,unit,8.75,kg
Harbour Smokehouse Salmon 100g,2.00,unit,2.00,100g
Sainsbury's British Breaded Wiltshire Cured Ham Taste the Difference 120g,2.00,unit,1.67,100g
Sainsbury's Butcher's choice Cumberland British Pork Sausage x8 454g,1.50,unit,3.30,kg
Sainsbury's smoked British Back Bacon Rashers x8 250g,1.50,unit,6.00,kg
Sainsbury's Breaded Chunky Cod Taste the Difference x2 350g,4.00,unit,11.43,kg
Herta Frankfurter Hot Dogs x10 350g,2.20,unit,63p,100g
Sainsbury's Traditionally Sliced Runner Beans 160g,1.50,unit,9.38,kg
Sainsbury's Broccoli Florets 160g,90p,unit,5.63,kg
Sainsbury's Trimmed Mange Tout 200g,1.35,unit,6.75,kg
Sainsbury's British Roast Chicken Breast 135gm x7 Slices,1.75,unit,1.30,100g
Sainsbury's British Fresh Large Whole Chicken 1.9kg,3.90,unit,2.05,kg
Sainsbury's White Potatoes Taste the Difference 2kg,2.00,unit,1.00,kg
Sainsbury's Vittoria on the Vine Cherry Tomatoes Taste The Difference 400g,2.50,unit,6.25,kg
Sainsbury's Watercress 80g,1.00,unit,1.25,100g
Sainsbury's British Roast Beef 85g x3 Slices,1.75,unit,2.06,100g
Sainsbury's Italian Cubetti Di Pancetta 206g,2.50,unit,1.21,100g
Sainsbury's British Fresh Chicken Breast Mini Fillets 320g,2.10,unit,6.56,kg
Sainsbury's British Beef Burgers Taste the Difference x2 340g,2.50,unit,7.35,kg
Sainsbury's Extra Fine Beans 200g,1.60,unit,8.00,kg
Bisto Gravy Granules 170g,1.30,unit,76p,100g
Sainsbury's Beef Mince 12% Fat 500g,2.50,unit,5.00,kg
Sainsbury's British Fresh Chicken Skin on Thighs 1kg,1.65,unit,1.65,kg
Linda McCartney Vegetarian Sausages x6 270g,2.20,unit,8.15,kg
Sainsbury's Cooked Roast British Chicken Breast Fillets x2 240g,3.50,unit,1.46,100g
Sainsbury's Italian Milano Salami Slices 86g,1.10,unit,1.28,100g
Sainsbury's German Brunswick Ham Wafer Thin Slices x10 125g,1.50,unit,1.20,100g
