Description,Price/Unit,Unit,Price/Measure,Measure
IAMS Small to Medium Puppy & Junior Dry Dog Food 2kg,5.00,unit,2.50,kg
IAMS Vitality ProActive Health Dog Food for Overweight Dogs for All Breeds 2kg,5.00,unit,2.50,kg
IAMS Vitality Senior & Active Dry Dog Food 2kg,5.00,unit,2.50,kg
Felix Cat Food Fish Selection In Jelly 12 X 100G,3.00,unit,2.50,kg
Sainsbury's Wood Cat Litter 10L,4.50,unit,45p,ltr
Felix As Good As It Looks Cat Food Ocean Feasts In Jelly 12x100g,3.50,unit,2.92,kg
Catsan Hygiene Cat Litter Bag 10L,7.00,unit,70p,ltr
Sheba Select Slices in Gravy Wet Adult 1+ Cat Food Tray Chicken 85g,55p,unit,6.47,kg
Felix As Good As It Looks Doubly Delicious Cat Food Meat 12x100g,3.50,unit,2.92,kg
Felix As Good As It Looks Cat Food Meat Selection 12x100g,3.50,unit,2.92,kg
Dettol Laundry Sanitiser Antibacterial Liquid Additive Fresh Cotton 1.5L,3.00,unit,2.00,ltr
Sainsburys Cat Milk 3x200ml,1.75,unit,2.92,ltr
Catsan Hygiene  Cat Litter Bag 20L,13.00,unit,65p,ltr
Dreamies Adult 1+ Cat Treat Biscuits with Chicken 60g,95p,unit,15.83,kg
Dettol Antibacterial Disinfectant Multi Surface Cleaning Wipes x110,3.00,unit,3p,wipe
Sainsbury's Complete Nutrition 1+ Adult Cat Food Meat & Fish Selection in Jelly 12x400g,5.00,unit,1.04,kg
Gourmet Solitaire Tinned Cat Food With Beef 85g,60p,unit,7.06,kg
Felix As Good As It Looks Cat Food Mixed 40 X 100g,11.00,unit,2.75,kg
Dreamies Adult 1+ Cat Treat Biscuits with Cheese 60g,95p,unit,15.83,kg
Gourmet Gold Tinned Cat Food Pate With Ocean Fish 85g,55p,unit,6.47,kg
Sainsbury's Farmhouse Kitchen Adult Dog Smooth Pt With Chicken & Turkey 300g,55p,unit,1.83,kg
Sainsbury's Complete Nutrition Adult Dog Food Meat Selection in Jelly 12 x 400g,4.75,unit,99p,kg
Sheba Fresh Choice Cat Pouches Mixed Fish Collection in Gravy 6x50g,1.50,unit,5.00,kg
Sheba Fine Flakes in Sauce Wet Adult 1+ Cat Food Tray with Salmon 85g,55p,unit,6.47,kg
Cesar Classics Loaf Wet Adult 1+ Dog Food Tray with Chicken and Turkey 150g,85p,unit,5.67,kg
Sainsbury's Dental Sticks for Medium Dogs x14 360g,1.45,unit,4.03,kg
Whiskas in Jelly Wet Senior 7+ Cat Food  Pouches Poultry 12x100g,3.50,unit,2.92,kg
Felix Cat Food Mixed Selection In Jelly 40x100g,9.90,unit,2.48,kg
Whiskas Temptations Adult 1+ Cat Treat with Chicken 60g,1.00,unit,16.67,kg
Bakers Allsorts Dog Treats Chicken and Beef 98g,95p,unit,9.69,kg
Sainsbury's Cat Treat Deli Cat Sticks Chicken & Liver x10,79p,unit,15.80,kg
Felix As Good As It Looks Doubly Delicious Cat Food Fish 12x100g,3.50,unit,2.92,kg
Pedigree Dentastix Daily Adult 1+ Medium Dog Treats Dental Chews x7 Sticks,1.75,unit,9.72,kg
Sheba Fine Recipes in Sauce Wet Adult 1+ Cat Food Tray with Turkey 85g,55p,unit,6.47,kg
Dettol All in One Disinfectant Antibacterial Spray Crisp Linen 400ml,3.00,unit,7.50,ltr
Felix Senior Cat Food Mixed In Jelly 12 X 100g,3.00,unit,2.50,kg
Chappie Wet Adult 1+ Dog Food Tin Favourites in Loaf 6x412g,5.25,unit,2.12,kg
Felix As Good As It Looks Cat Food Pouch Chicken 100g,55p,unit,5.50,kg
Gourmet Solitaire Tinned Cat Food With Duck 85g,60p,unit,7.06,kg
Sainsbury's Dog Treats Gravy Bones 400g,90p,unit,2.25,kg
Webbox Lick-e-lix Cat Treat Chicken 5x15g,1.00,unit,13.33,kg
Gourmet Perle Cat Food Chefs Collection Mixed 12X85g,4.00,unit,3.92,kg
Sainsbury's Delicious Recipes 1+ Adult Cat Food Tuna in Jelly 85g,75p,unit,8.82,kg
Pedigree Dentastix Daily Adult 1+ Small Dog Treat Dental Chew Sticks x7,1.50,unit,13.64,kg
Gourmet Perle Cat Food Pouches Ocean Delicacies 12x85g,4.00,unit,3.92,kg
Webbox Cats Delight Salmon & Trout Sticks x6,1.00,unit,33.33,kg
Bakers Sizzlers Dog Treats Bacon 90g,95p,unit,10.56,kg
Gourmet Mon Petit Cat Food Pouches Fish 6 X 50g,1.50,unit,5.00,kg
Whiskas in Jelly Wet Adult 1+ Cat Food Pouches Fish 12x100g,3.50,unit,2.92,kg
Sheba Classics in Terrine Wet Adult 1+ Cat Food  Tray with Chicken 85g,55p,unit,6.47,kg
Whiskas Dry Adult 1+ Cat Food Biscuits with Chicken 2kg,4.50,unit,2.25,kg
Sainsbury's Complete Nutrition Adult Dog Food Meat Selection in Gravy 12 x 400g,4.75,unit,99p,kg
Sainsbury's Cat Treat Deli Cat Sticks Salmon & Trout x10,79p,unit,15.80,kg
Sainsbury's 1+ Adult Cat Food Smooth Pt with Turkey & Chicken 100g,30p,unit,3.00,kg
Felix As Good As It Looks Senior Cat Food Fish 12x100g,3.50,unit,2.92,kg
Whiskas in Jelly Wet Senior 7+ Cat Food Pouches Fish 12x100g,3.50,unit,2.92,kg
Good Boy Pawsley & Co Chewy Chicken Dumbbells Dog Treats 100g,2.25,unit,22.50,kg
Go-Cat Adult Dry Cat Food Chicken And Duck 825g,2.25,unit,2.73,kg
Felix Cat Food Mixed Selection In Gravy 12 X 100g,3.00,unit,2.50,kg
Febreze Cotton Fresh Air Freshener 300ml,2.00,unit,6.67,ltr
Pedigree Tasty Minis Adult 1+ Dog Treats with Cheese and Beef 140g,1.00,unit,7.14,kg
Sainsbury's Complete Nutrition 1+ Adult Cat Food Meat & Fish Selection in Jelly 12x100g,2.25,unit,1.88,kg
Whiskas in Jelly Wet Adult 1+ Cat Food Pouches Fish and Meat 12x100g,3.50,unit,2.92,kg
Sainsbury's Complete Nutrition 1+ Adult Cat Food Meat & Fish Selection in Jelly 48x100g,8.00,unit,1.67,kg
Felix As Good As It Looks Doubly Delicious Senior Cat Food Meat 12 X 100g,3.50,unit,2.92,kg
Go-Cat Adult Dry Cat Food Chicken And Duck 2kg,4.00,unit,2.00,kg
Gourmet Mon Petit Cat Food Pouches Poultry 6x50g,1.50,unit,5.00,kg
Glade Shake 'n' Vac Citrus Blossom 500g,1.00,unit,1.00,ea
Butcher's Grain Free Dog Food Can 400g,75p,unit,1.88,kg
Good Boy Pawsley & Co Chewy Twists with Chicken Dog Treats 90g,2.50,unit,27.78,kg
Frank's Cat Litter 10L,1.55,unit,16p,ltr
Felix As Good As It Looks Cat Food Ocean Feasts 40 X 100g,11.00,unit,2.75,kg
Pedigree in Jelly Wet Adult 1+ Dog Food Tin Mixed Selection 12x385g,7.60,unit,1.65,kg
Pedigree Biscrok Gravy Bones Original Adult 1+ Treat  Biscuits 400g,2.00,unit,5.00,kg
Webbox Lick-e-lix Cat Treat Salmon 5x15g,1.00,unit,13.33,kg
Gourmet Solitaire Tinned Cat Food With Turkey 85g,60p,unit,7.06,kg
Gourmet Gold Tinned Cat Food Terrine With Salmon 85g,55p,unit,6.47,kg
Felix As Good As It Looks Cat Food Favourites 12X100g,3.50,unit,2.92,kg
Sainsbury's Farmhouse Kitchen Adult Dog Smooth Pt With Beef & Vegetables 300g,55p,unit,1.83,kg
Whiskas in Jelly Wet Adult 1+ Cat Food Pouches Poultry  12x100g,3.50,unit,2.92,kg
