Description,Price/Unit,Unit,Price/Measure,Measure
Carex Moisture Plus Antibacterial Handwash 250ml,1.00,unit,40p,100ml
Carex Antibacterial Handwash 250ml,1.00,unit,40p,100ml
Aquafresh Triple Protection Fresh and Minty Toothpaste 75ml,80p,unit,1.07,100ml
Colgate Cavity Protection Toothpaste 75ml,80p,unit,1.07,100ml
Radox 2-in-1 Shampoo and Shower Gel Feel Awake 250ml,90p,unit,36p,100ml
Colgate Total Original Care Toothpaste 125ml,2.00,unit,1.60,100ml
Carex Antibacterial Handwash Aloe Vera 250ml,1.00,unit,40p,100ml
Sainsbury's Paracetamol Plus Caplets x16,80p,unit,5p,tblt
Sainsbury's Ultra Soft 3 Ply Tissues Twin Pack x80 Sheets,2.50,unit,1.56,100sht
Radox Shower Cream Moisturise 250ml,90p,unit,36p,100ml
Carex Antibacterial Handwash Hypo Allergenic 250ml,1.00,unit,40p,100ml
Radox Feel Refreshed 2in1 Shower Gel 250ml,90p,unit,36p,100ml
Colgate Total Original Toothpaste 75ml,2.50,unit,3.33,100ml
Sainsbury's Ultra Balm 3 Ply Tissues Twin Pack x80 Sheets,2.50,unit,1.56,100sht
Colgate Cavity Protection Toothpaste Pump 100ml,1.75,unit,1.75,100ml
Simple Kind To Skin Cleansing Face Wipes for Sensitive Skin x25,2.00,unit,8p,wipe
Baylis & Harding Mosaic Mandarin & Grapefruit Handwash 500ml,2.00,unit,40p,100ml
Baylis & Harding Jasmin and Apple Blossom Antibacterial Handwash 500ml,2.00,unit,40p,100ml
Simple Kind to Skin Antibacterial Handwash 250ml,1.00,unit,40p,100ml
Pears Transparent Bar Soap 125g,70p,unit,56p,100g
Oral-B Pro Expert Professional Protection Clean Mint Toothpaste 75ml,3.50,unit,4.67,100ml
Dove Original Beauty Cream Bar 4x100g,1.00,unit,50p,100g
Colgate Max Fresh Cooling Crystals Toothpaste Pump 100ml,2.50,unit,2.50,100ml
Steradent Denture Cleaning Tablets Active Plus x30,1.00,unit,3p,ea
Sainsbury's Coolmint Fluoride Mouthwash 500ml,80p,unit,16p,100ml
Palmolive Naturals Milk & Honey Handwash Soap 300ml,90p,unit,30p,100ml
Macleans Fresh Mint Fluoride Toothpaste 100ml,1.00,unit,1.00,100ml
Sainsbury's Fresh Faced Gentle Facial Wipes x25,90p,unit,4p,wipe
Sensodyne Repair & Protect Original Sensitive Daily Toothpaste 75ml,3.50,unit,4.66,100ml
Original Source Mint & Tea Tree Shower 250ml,1.00,unit,40p,100ml
Colgate Advanced White Toothpaste Pump 100ml,2.50,unit,2.50,100ml
Dove Beauty Cream Soap Handwash Supreme Silk 250ml,1.00,unit,40p,100ml
Radox Bath Muscle Soak 500ml,1.20,unit,24p,100ml
Original Source Lime Shower 250ml,1.00,unit,40p,100ml
Listerine Total Care Mouthwash 500ml,4.50,unit,90p,100ml
Colgate Sensitive Instant Relief Whitening Toothpaste 75ml,3.50,unit,4.67,100ml
Radox Shower Gel Feel Revived 250ml,90p,unit,36p,100ml
Sainsbury's Little Ones Cotton Buds Paper Stemmed x300,75p,unit,0p,ea
Nivea Shower Cream Gel Indulgent Moisture Orange 250ml,1.00,unit,40p,100ml
Carefree Panty Liners Scented with Cotton Extract x20,85p,unit,4p,ea
Dove Beauty Cream Caring Hand Wash 250ml,1.00,unit,40p,100ml
Radox Shower Gel Nourish 250ml,90p,unit,36p,100ml
Radox Feel Active Shower Gel 250ml,90p,unit,36p,100ml
Sensodyne Pronamel Enamel Care Whitening Toothpaste 75ml,3.80,unit,5.07,100ml
Colgate Plax Cool Mint Mouthwash with CPC 500ml,2.00,unit,40p,100ml
Sensodyne Gentle Whitening Daily Care Sensitive Toothpaste 75ml,3.50,unit,4.67,100ml
Carefree Panty Liners with Cotton Extract x20,85p,unit,4p,ea
Sensodyne Original Mint Daily Care Sensitive Toothpaste 75ml,3.50,unit,4.67,100ml
Oral B Satin Tape Floss 25m,1.50,unit,6p,mtr
Nivea Shower Gel Indulgent Moisture Cashmere 250ml,1.00,unit,40p,100ml
Simple Bar Soap 4x125g,1.95,unit,39p,100g
Sainsbury's Hayfever & Allergy Loratadine x14,1.95,unit,14p,ea
Palmolive Aquarium Handwash 300ml,90p,unit,30p,100ml
Anadin Extra Capsule x16,1.75,unit,11p,ea
Nivea Men Anti-Perspirant Deodorant Spray Cool Kick 48 Hours Deo 250ml,1.60,unit,64p,100ml
Sainsbury's Double Faced Oval Cotton Pads x50,1.85,unit,4p,ea
Nurofen Ibuprofen Pain Relief 200mg Tablets x16,2.20,unit,14p,tblt
Aquafresh Milk Teeth Gentle Protection 0-2 Years Kids Toothpaste 50ml,1.20,unit,2.40,100ml
Bodyform Ultra Normal Sanitary Towels Wings x14,1.00,unit,7p,ea
Novon Paper Stemmed Cotton Buds x200,29p,unit,0p,ea
Simple Kind to Skin Refreshing Shower Gel 250ml,1.00,unit,40p,100ml
Colgate Total Whitening Toothpaste 75ml,2.50,unit,3.33,100ml
Original Source Lemon & Tea Tree Shower 250ml,1.00,unit,40p,100ml
