Description,Price/Unit,Unit,Price/Measure,Measure
Sainsbury's British Semi Skimmed Milk 2.27L (4 pint),1.10,unit,48p,ltr
Sainsbury's British Semi Skimmed Milk 1.13L (2 pint),80p,unit,70p,ltr
Sainsbury's Woodland Free Range Large Eggs x12,2.05,unit,17p,ea
Sainsbury's British Whole Milk 2.27L (4 pint),1.10,unit,48p,ltr
Cravendale Purefilter Semi Skimmed Milk 2L,1.90,unit,95p,ltr
Sainsbury's British Skimmed Milk 2.27L (4 pint),1.10,unit,48p,ltr
"Sainsbury's English Butter, Salted 250g",1.50,unit,6.00,kg
"Sainsbury's English Butter, Unsalted 250g",1.50,unit,6.00,kg
Sainsbury's British Mature Cheddar Cheese 400g,2.00,unit,5.00,kg
Sainsbury's British Semi Skimmed Milk 3.4L (6 pint),1.55,unit,45p,ltr
Sainsbury's Woodland Free Range Large Eggs x6,1.10,unit,18p,ea
Sainsbury's Woodland Free Range Medium Eggs x12,1.70,unit,14p,ea
Lurpak Slightly Salted Spreadable 500g,3.00,unit,6.00,kg
Sainsbury's Greek Style Natural Yogurt 500g,85p,unit,17p,100g
Sainsbury's British Skimmed Milk 1.13L (2 pint),80p,unit,70p,ltr
Sainsbury's Woodland Free Range Medium Eggs x6,90p,unit,15p,ea
Sainsbury's British Whole Milk 1.13L (2 pint),80p,unit,70p,ltr
Cathedral City Mature Cheddar Cheese 350g,2.50,unit,7.14,kg
"Sainsbury's Air Dried Finely Sliced Lean Ham, Taste the Difference 120g",2.75,unit,2.29,100g
"Sainsbury's British Breaded Ham 120g x7, Slices",1.75,unit,1.46,100g
"Sainsbury's Coleslaw, Taste the Difference 300g",1.30,unit,43p,100g
Sainsbury's Double Cream 300ml,1.10,unit,37p,100ml
Sainsbury's British Extra Mature Cheddar Cheese 400g,2.00,unit,5.00,kg
"Sainsbury's British Honey Roast Ham 120g, x7 Slices",1.75,unit,1.46,100g
Sainsbury's Greek Feta Cheese 200g,1.35,unit,6.75,kg
"Sainsbury's British Whole Milk, SO Organic 2.27L (4 Pint)",1.55,unit,68p,ltr
Arla Lactofree Fresh Semi Skimmed Dairy Drink 1L,1.50,unit,1.50,ltr
Anchor Salted Spreadable 500g,3.75,unit,7.50,kg
Sainsbury's Double Cream 600ml,2.00,unit,33p,100ml
"Sainsbury's Woodland Free Range Large Eggs, SO Organic x6",2.15,unit,36p,ea
Sainsbury's Cypriot Halloumi Cheese 225g,2.30,unit,10.22,kg
Sainsbury's West Country Farmhouse Mature Cheddar Cheese 400g,2.00,unit,5.00,kg
Sainsbury's Cheese & Tomato Mini Pizza 101g,55p,unit,5.45,kg
Sainsbury's Garlic Baguette x2 420g,1.00,unit,24p,100g
Lurpak Lighter Slightly Salted Spreadable 500g,3.00,unit,6.00,kg
Sainsbury's Parmigiano Reggiano Cheese 200g,3.30,unit,16.50,kg
Sainsbury's Mozzarella Cheese 150g,75p,unit,5.00,kg
"Sainsbury's British Semi Skimmed Milk, SO Organic 1.13L (2 pint)",1.05,unit,92p,ltr
Sainsbury's Free Range Fresh Egg Noodles 410g,1.25,unit,30p,100g
Sainsbury's British Half Fat Crme Frache 300ml,1.20,unit,40p,100ml
Sainsbury's British Mature Grated Cheddar Cheese 250g,1.70,unit,6.80,kg
Cravendale Purefilter Semi Skimmed Milk 1L,1.15,unit,1.15,ltr
Tropicana Smooth Orange Juice 1.6L,3.80,unit,24p,100ml
Anchor Salted Butter 250g,1.85,unit,7.40,kg
"Lurpak Butter, Slightly Salted 250g",1.75,unit,7.00,kg
Pizza Express Margherita Pizza 245g,2.50,unit,10.21,kg
Sainsbury's British Mild Cheddar Cheese 400g,2.00,unit,5.00,kg
Bertolli Original Spread 500g,1.90,unit,3.80,kg
Cravendale Purefilter Skimmed Milk 2L,1.90,unit,95p,ltr
Yeo Valley Organic Natural Yogurt 500g,1.65,unit,33p,100g
